Lokacja,Cena,Cena za m2,m2,Pokoje
"Gdańsk, Ujeścisko-Łostowice, ul. Wielkopolska",371 000 zł,8628 zł/m²,43 m²,2 pokoje
"Gdańsk, Ujeścisko-Łostowice, ul. Wielkopolska",540 000 zł,8182 zł/m²,66 m²,3 pokoje
"Gdańsk, Ujeścisko-Łostowice, ul. Wielkopolska",376 000 zł,9171 zł/m²,41 m²,2 pokoje
"Gdańsk, Ujeścisko-Łostowice, ul. Wielkopolska",563 000 zł,8043 zł/m²,70 m²,4 pokoje
"Gdańsk, Jasień, ul. Jaworowa",414 500 zł,9011 zł/m²,46 m²,2 pokoje
"Gdańsk, Jasień, ul. Jaworowa",443 100 zł,8862 zł/m²,50 m²,2 pokoje
"Gdańsk, Jasień, ul. Jaworowa",534 800 zł,8626 zł/m²,62 m²,3 pokoje
"Gdańsk, Jasień, ul. Jaworowa",486 800 zł,9185 zł/m²,53 m²,3 pokoje
"Gdańsk, Jasień, ul. Jaworowa",412 500 zł,9593 zł/m²,43 m²,2 pokoje
"Gdańsk, Jasień, ul. Jaworowa",505 300 zł,8712 zł/m²,58 m²,3 pokoje
"Gdańsk, Jasień, ul. Jaworowa",577 400 zł,9022 zł/m²,64 m²,3 pokoje
"Gdańsk, Jasień, ul. Jaworowa",405 000 zł,9205 zł/m²,44 m²,2 pokoje
"Gdańsk, Ujeścisko-Łostowice, Łostowice, ul. Władysława Jagiełły",Zapytaj o cenę,,41.79 m²,2 pokoje
"Orunia Górna-Gdańsk Południe, ul. Kadmowa, Gdańsk, pomorskie",Zapytaj o cenę,,53.55 m²,3 pokoje
"Gdańsk, Ujeścisko-Łostowice, ul. Przemyska",442 496 zł,11 200 zł/m²,39.51 m²,2 pokoje
"Orunia Górna-Gdańsk Południe, ul. Kadmowa, Gdańsk, pomorskie",Zapytaj o cenę,,53.55 m²,3 pokoje
"Gdańsk, Chełm",312 000 zł,8914 zł/m²,35 m²,2 pokoje
"Gdańsk, Ujeścisko-Łostowice",370 191 zł,9856 zł/m²,37.56 m²,2 pokoje
"Gdańsk, Kowale",492 695 zł,8019 zł/m²,61.44 m²,4 pokoje
