Cena,Miasto,Dzielnica,Cena za m2,M2,Pokoje,Pietro,Szerokosc,Dlugosc
569000,Gdańsk,Przymorze,11267,50.5,2,1,54.4043074,18.576655
569990,Gdańsk,Żabianka,12666,45.0,2,17,54.4208948,18.5826737
569999,Gdańsk,Zaspa,11752,48.5,2,3,54.3975453,18.5955881
649000,Gdańsk,Przymorze,12980,50.0,2,8,54.4085855,18.5886131
569990,Gdańsk,Przymorze,11399,50.0,2,2,54.4085855,18.5886131
1250000,Gdańsk,Zaspa,17698,70.63,2,0,54.4024472,18.6112076
444000,Gdańsk,Wrzeszcz,9888,44.9,3,2,54.3873711,18.6109253
775000,Gdynia,Kamienna Góra,12441,62.29,2,0,54.5098764,18.5414597
420000,Gdańsk,Wrzeszcz,10769,39.0,3,4,54.3865765,18.6267486
430000,Gdańsk,Orunia Górna,10238,42.0,2,1,54.3234344,18.610259
530000,Gdańsk,Letnica,13589,39.0,3,3,54.3904967,18.6474929
1849000,Sopot,Wyścigi / Karlikowo,15408,120.0,4,1,54.4349367,18.5784558
729000,Gdańsk,Łostowice,10402,70.08,4,4,54.3152398,18.5911515
599000,Gdańsk,Chełm,9661,62.0,3,7,54.3384804,18.6059547
645000,Gdańsk,Długie ogrody,13720,47.01,3,7,54.3487555,18.6698573
969000,Gdańsk,Przymorze,17944,54.0,3,1,54.4054917,18.5798509
1063755,Gdynia,Mały Kack,16500,64.47,3,0,54.472260950000006,18.516295530675727
1455600,Gdańsk,Oliwa,24000,60.65,2,4,54.4063189,18.5614956
549000,Gdańsk,Oliwa,13407,40.95,1,1,54.4150643,18.5551019
629990,Gdańsk,Śródmieście,27534,22.88,3,2,54.3456228,18.6558958
1200000,Gdańsk,Wrzeszcz,13333,90.0,2,0,54.3844677,18.5893686
575000,Gdańsk,Przymorze,12777,45.0,3,0,54.4059819,18.6039015
599000,Gdańsk,Jasień,10767,55.63,2,0,54.3349283,18.559323
439000,Gdynia,Witomino,12436,35.3,3,3,54.5013275,18.5147885
669000,Gdańsk,Chełm,10790,62.0,3,3,54.3320361,18.6290213
665000,Gdynia,Wielki Kack,9794,67.9,3,0,54.4686412,18.490985
879000,Gdańsk,Śródmieście,14540,60.45,4,2,54.3435452,18.6487138
769000,Gdańsk,Zaspa,12403,62.0,2,2,54.3975453,18.5955881
775000,Gdańsk,Wrzeszcz,18902,41.0,3,3,54.3945614,18.6183213
610000,Gdańsk,Suchanino,9683,63.0,2,0,54.35396,18.6124121
920000,Sopot,Dolny Sopot,18891,48.7,4,5,54.4442176,18.5630792
990000,Gdańsk,Brzeźno,14040,70.51,2,1,54.404967,18.6431622
1099000,Gdańsk,Jasień,9866,111.39,2,0,54.3349283,18.559323
669000,Gdynia,Kamienna Góra,15246,43.88,4,2,54.5086709,18.544094705890046
899000,Gdynia,Chylonia,10702,84.0,2,3,54.5392602,18.471961
659000,Gdańsk,Łostowice,9321,70.7,3,4,54.3143954,18.5946641
498000,Gdańsk,Chełm,10396,47.9,2,3,54.3379912,18.6186695
450000,Gdynia,Pogórze,9375,48.0,2,2,54.5597264,18.4864328
380000,Gdańsk,Ujeścisko,11176,34.0,2,3,54.3311878,18.5931643
440000,Gdańsk,Jasień,9442,46.6,2,2,54.3536518,18.5500839
440000,Gdańsk,Jasień,9462,46.5,2,1,54.3536518,18.5500839
500000,Gdańsk,Wrzeszcz,10309,48.5,1,1,54.3898474,18.6265275
280000,Gdańsk,Orunia,9491,29.5,3,1,54.3179328,18.6337905
780000,Gdynia,Oksywie,11746,66.4,2,8,54.5527074,18.541795
560000,Gdańsk,Wrzeszcz,12389,45.2,4,6,54.3833813,18.6127526
455000,Gdańsk,Wrzeszcz,10134,44.9,3,2,54.3817696,18.6055111
488000,Gdynia,Oksywie,11013,44.31,1,3,54.5458913,18.5362053
408000,Gdańsk,Żabianka,16320,25.0,2,3,54.4208948,18.5826737
1169000,Sopot,Dolny Sopot,22352,52.3,2,3,54.4393066,18.571266
439000,Gdynia,Witomino,12436,35.3,3,1,54.5013275,18.5147885
430000,Gdańsk,Przeróbka,10424,41.25,2,0,54.3821548,18.6715684
430000,Gdańsk,Przeróbka,10424,41.25,2,1,54.3821548,18.6715684
585000,Gdańsk,Jasień,12959,45.14,2,0,54.3488657,18.5503486
1450000,Gdynia,Redłowo,20661,70.18,2,2,54.4927005,18.5538525
610000,Gdynia,Witomino,11296,54.0,1,2,54.4980971,18.509797
375000,Gdańsk,Wrzeszcz,11363,33.0,2,2,54.3780231,18.5825537
657000,Gdańsk,Brzeźno,14931,44.0,2,1,54.4034316,18.6371331
575000,Gdańsk,Przymorze,12777,45.0,3,3,54.4059819,18.6039015
839000,Gdańsk,Młode miasto,14982,56.0,2,0,54.3600026,18.6569874
570000,Gdańsk,Łostowice,13571,42.0,2,0,54.3152398,18.5911515
499000,Gdańsk,Jasień,10439,47.8,6,1,54.3349283,18.559323
1999000,Gdańsk,Brzeźno,15865,126.0,2,10,54.40163075,18.633279614050917
660000,Gdynia,Grabówek,10857,60.79,3,1,54.5266125,18.5059295
654000,Gdańsk,Zaspa,9790,66.8,2,0,54.394244,18.5874811
499000,Gdańsk,Dolne miasto,12827,38.9,4,1,54.3407336,18.6535082
410000,Gdańsk,Przeróbka,9295,44.11,1,3,54.3565616,18.6870257
675000,Gdańsk,Zaspa,19852,34.0,6,0,54.4024472,18.6112076
1049000,Gdynia,Dąbrowa,7492,140.0,2,1,54.4743853,18.4701955
440000,Gdańsk,Karczemki,9734,45.2,3,3,54.3551274,18.5082103
1800000,Gdańsk,Wrzeszcz,22500,80.0,3,7,54.3843027,18.5900734
424000,Gdynia,Leszczynki,8000,53.0,2,0,54.5315281,18.4881398
548000,Gdynia,Chylonia,10148,54.0,4,3,54.5355426,18.4593452
349000,Gdańsk,Długie ogrody,14542,24.0,4,3,54.3517865,18.6731163
2400000,Gdańsk,Długie ogrody,22018,109.0,2,1,54.3490925,18.6632116
749000,Gdańsk,Długie ogrody,13299,56.32,4,2,54.3490788,18.6663406
880000,Gdynia,Chwarzno,11028,79.8,3,4,54.500733,18.4428336
920000,Sopot,Wyścigi / Karlikowo,18327,50.2,2,4,54.4349367,18.5784558
485000,Gdynia,Działki Leśne,11279,43.0,2,3,54.5180631,18.5203267
559000,Gdańsk,Wrzeszcz,12178,45.9,4,1,54.3768101,18.61329207601881
830000,Gdańsk,Długie ogrody,7634,108.73,3,3,54.3490788,18.6663406
779000,Gdańsk,Śródmieście,22911,34.0,2,0,54.3489027,18.6544649
480000,Gdańsk,Długie ogrody,14118,34.0,2,1,54.3487555,18.6698573
695000,Gdynia,Karwiny,14733,47.17,3,3,54.4741919,18.4829109
559000,Gdynia,Działki Leśne,10648,52.5,3,7,54.5147874,18.5332269
1240000,Gdańsk,Zaspa,17150,72.3,2,4,54.4024472,18.6112076
419000,Gdynia,Chylonia,10940,38.3,3,1,54.5448438,18.4619638
459000,Gdynia,Oksywie,10103,45.43,3,0,54.5489093,18.5476574
690000,Gdańsk,Osowa,10455,66.0,6,2,54.422758,18.4799824
590000,Gdańsk,Wrzeszcz,10369,56.9,3,3,54.3768322,18.6263223
2050000,Gdańsk,Jasień,19523,105.0,3,0,54.3536518,18.5500839
735000,Gdańsk,Zaspa,11666,63.0,2,0,54.3903682,18.6046858
750000,Sopot,Wyścigi / Karlikowo,17123,43.8,4,17,54.4349367,18.5784558
948000,Gdańsk,Wrzeszcz,10000,94.8,2,1,54.3873711,18.6109253
900000,Gdańsk,Przymorze,18000,50.0,2,3,54.4034704,18.5910556
1140000,Gdańsk,Brzeźno,24076,47.35,5,1,54.4064607,18.6279679
799000,Gdynia,Chylonia,8306,96.2,2,4,54.5415929,18.4716354
1880000,Gdańsk,Oliwa,28923,65.0,1,1,54.4089034,18.5648624
629000,Gdańsk,Śródmieście,27347,23.0,3,2,54.3456228,18.6558958
580000,Gdańsk,Żabianka,10338,56.1,3,2,54.4179618,18.5777267
800000,Gdańsk,Maćkowy,14686,54.47,1,2,54.2978761,18.6079423
2000000,Gdańsk,Brzeźno,23809,84.0,3,4,54.4069408,18.62066603522357
539000,Gdańsk,Siedlce,9773,55.15,3,1,54.3537588,18.6214977
656000,Gdańsk,Ujeścisko,11498,57.05,2,1,54.328373,18.5982754
359000,Gdynia,Chylonia,9684,37.07,5,3,54.5422938,18.4620586
650000,Gdańsk,Wrzeszcz,8928,72.8,4,3,54.3768101,18.61329207601881
1150000,Gdańsk,Stare Przedmieście,21698,53.0,5,2,54.3453008,18.6532127
799000,Gdańsk,Orunia Górna,7990,100.0,2,8,54.3258604,18.6222934
370000,Gdańsk,Jasień,10819,34.2,3,1,54.3316163,18.5487117
649000,Gdańsk,Przymorze,10467,62.0,2,2,54.4016383,18.5772394
839000,Gdańsk,Śródmieście,14982,56.0,4,5,54.3583867,18.6554556
610000,Gdańsk,Suchanino,9597,63.56,4,3,54.3558049,18.6071618
2990000,Gdynia,Śródmieście,26696,112.0,3,1,54.5186319,18.534636
589000,Gdańsk,Zakoniczyn,9833,59.9,4,7,54.3189392,18.5833767
1299000,Gdańsk,Długie ogrody,12336,105.3,3,3,54.3490788,18.6663406
437000,Gdańsk,Chełm,12485,35.0,3,0,54.3326888,18.6110223
685000,Gdańsk,Łostowice,10317,66.39,2,1,54.31911,18.5918006
449000,Gdańsk,Strzyża,13773,32.6,2,3,54.3913072,18.5853356
730000,Gdańsk,Letnica,18717,39.0,2,3,54.3981198,18.6476667
610000,Gdynia,Wielki Kack,11730,52.0,1,3,54.4676217,18.48157
360000,Gdynia,Śródmieście,15484,23.25,4,4,54.5208405,18.5320953
1200000,Gdańsk,Śródmieście,16222,73.97,3,2,54.3495984,18.6554772
329000,Gdynia,Pogórze,5886,55.9,3,0,54.557956450000006,18.481311262201157
949000,Gdańsk,Śródmieście,14292,66.4,2,6,54.3514191,18.6492273
420000,Gdańsk,Stogi,9929,42.3,3,4,54.3739022,18.7031185
569000,Gdańsk,Morena,8961,63.5,2,3,54.3680995,18.59012245607376
920000,Gdańsk,Przymorze,20994,43.82,2,2,54.4141882,18.598898
880000,Gdańsk,Długie ogrody,21516,40.9,2,3,54.3505768,18.6615653
429000,Gdańsk,Kowale,8449,50.77,2,2,54.3111423,18.569269
825000,Gdańsk,Śródmieście,20121,41.0,2,2,54.3521336,18.6493113
970000,Gdańsk,Przymorze,17963,54.0,2,0,54.4054917,18.5798509
379000,Gdańsk,Oliwa,10389,36.48,3,0,54.4070581,18.5443635
520000,Gdańsk,Chełm,8201,63.4,3,3,54.3403608,18.6186983
655000,Gdańsk,Zakoniczyn,10076,65.0,3,1,54.321784,18.5818245
495000,Gdynia,Grabówek,8945,55.34,2,4,54.5285411,18.5057323
397900,Gdańsk,Stogi,9138,43.54,1,2,54.3600113,18.7126565
398000,Sopot,Kamienny Potok,15920,25.0,2,3,54.45453265,18.54791865
455910,Gdynia,Grabówek,9100,50.1,3,0,54.5274468,18.505704
559000,Gdańsk,Przymorze,10351,54.0,3,2,54.4016383,18.5772394
629000,Gdańsk,Jasień,12059,52.16,4,9,54.3272503,18.5595174
800000,Gdańsk,Wrzeszcz,10733,74.53,1,2,54.3739989,18.6154218
370000,Gdańsk,Siedlce,11958,30.94,2,2,54.3493986,18.6355331
359000,Gdańsk,Jasień,10112,35.5,3,4,54.3316163,18.5487117
918000,Gdynia,Mały Kack,11448,80.19,1,3,54.4789805,18.5213848
449000,Gdynia,Śródmieście,13402,33.5,1,4,54.5127506,18.5396818
450000,Gdynia,Śródmieście,12931,34.8,2,1,54.515067,18.5379655
815000,Gdynia,Redłowo,16821,48.45,2,3,54.4911699,18.5434649
399000,Gdańsk,Jasień,9484,42.07,2,2,54.3272503,18.5595174
820000,Gdańsk,Śródmieście,20000,41.0,2,1,54.3521336,18.6493113
335000,Gdańsk,Jasień,10768,31.11,2,9,54.3349283,18.559323
849000,Gdańsk,Śródmieście,17968,47.25,3,3,54.3487517,18.6471706
649000,Gdynia,Witomino,9984,65.0,2,0,54.4984985,18.509001
899999,Gdańsk,Długie ogrody,19706,45.67,3,2,54.3529391,18.6599081
949000,Gdańsk,Śródmieście,14292,66.4,2,4,54.3514191,18.6492273
1421000,Gdańsk,Wrzeszcz,20314,69.95,1,0,54.3762024,18.6071687
299000,Gdańsk,Łostowice,11553,25.88,2,2,54.3152398,18.5911515
799000,Gdańsk,Śródmieście,18555,43.06,5,4,54.3529922,18.6612461
2264000,Sopot,Dolny Sopot,16615,136.26,2,1,54.4434454,18.5675987
499000,Gdańsk,Brzeźno,11366,43.9,5,0,54.4034316,18.6371331
1199000,Gdańsk,Przymorze,16424,73.0,3,3,54.4054917,18.5798509
469900,Gdańsk,Młyniska,9564,49.13,2,2,54.3763336,18.6317878
485000,Gdańsk,Przymorze,10777,45.0,2,1,54.4016383,18.5772394
994000,Gdańsk,Wrzeszcz,23786,41.79,2,1,54.3833813,18.6127526
399000,Gdańsk,Łostowice,11735,34.0,3,14,54.31911,18.5918006
639000,Gdańsk,Jasień,9838,64.95,3,3,54.3272503,18.5595174
1300000,Gdańsk,Wrzeszcz,17808,73.0,4,2,54.3766522,18.6075306
760000,Gdynia,Dąbrowa,9500,80.0,3,4,54.4715348,18.4694115
600000,Gdańsk,Zaspa,9724,61.7,2,3,54.4001769,18.6059878
720000,Gdańsk,Śródmieście,18947,38.0,1,2,54.3502075,18.65592861667838
430000,Gdańsk,Dolne miasto,17063,25.2,3,3,54.3407336,18.6535082
560000,Gdańsk,Zakoniczyn,9459,59.2,3,6,54.3189392,18.5833767
1900000,Gdańsk,Wrzeszcz,21168,89.76,2,5,54.3965758,18.6178476
520000,Gdańsk,Letnica,12093,43.0,5,6,54.3981198,18.6476667
945204,Gdańsk,Jasień,8300,113.88,2,4,54.34580985,18.530889565089257
870000,Gdańsk,Stare Przedmieście,19333,45.0,1,2,54.345155,18.6458535
344000,Gdańsk,Żabianka,13385,25.7,4,3,54.4179618,18.5777267
1190000,Gdynia,Chwarzno,12832,92.73,3,1,54.5008511,18.4367993
595000,Gdynia,Śródmieście,12566,47.35,3,1,54.5161278,18.5383627
690000,Gdańsk,Osowa,10454,66.0,3,2,54.422758,18.4799824
429000,Gdańsk,Siedlce,9428,45.5,2,4,54.3511063,18.6352725
379000,Gdynia,Witomino,8693,43.6,2,4,54.4939691,18.5149526
379000,Gdynia,Witomino,8693,43.6,3,0,54.4939691,18.5149526
357700,Gdynia,Obłuże,5961,60.0,4,2,54.5575734,18.5063659
970000,Gdańsk,Przymorze,10463,92.7,2,2,54.4088337,18.5883227
495000,Gdynia,Dąbrowa,9000,55.0,3,1,54.4743403,18.4564295
749000,Gdańsk,Jasień,10529,71.14,5,7,54.3349283,18.559323
624000,Gdańsk,Suchanino,10400,60.0,1,0,54.3543681,18.6122954
410000,Gdynia,Działki Leśne,9534,43.0,2,1,54.521185,18.5267091
469000,Gdynia,Witomino,11035,42.5,3,1,54.4939691,18.5149526
1390000,Sopot,Dolny Sopot,29386,47.3,2,0,54.4412515,18.5729606
419000,Gdańsk,Śródmieście,11026,38.0,3,4,54.3510447,18.67157005
1200000,Gdańsk,Wrzeszcz,15426,77.79,2,7,54.3965758,18.6178476
569000,Gdańsk,Wrzeszcz,17949,31.7,2,4,54.3965758,18.6178476
320000,Gdańsk,Orunia,8556,37.4,2,0,54.3292853,18.623871
385000,Gdańsk,Jasień,9140,42.12,2,3,54.338969,18.5396705
299000,Gdynia,Dąbrowa,13000,23.0,4,0,54.4707716,18.4619517
907000,Gdańsk,Ujeścisko,9711,93.4,3,7,54.327724,18.5925125
485000,Gdańsk,Kokoszki,7370,65.8,3,2,54.3556006,18.5121689
749000,Gdynia,Śródmieście,12781,58.6,3,3,54.5189342,18.5448795
1350000,Gdynia,Kamienna Góra,18243,74.0,3,13,54.5086709,18.544094705890046
1299000,Gdańsk,Śródmieście,18826,69.0,3,4,54.3547158,18.6580958
995000,Gdańsk,Morena,14014,71.0,2,1,54.35006175,18.59514923167543
990000,Gdańsk,Brzeźno,21313,46.45,2,6,54.4064607,18.6279679
462000,Gdynia,Grabówek,10000,46.2,2,1,54.5285411,18.5057323
830000,Gdańsk,Stare Przedmieście,18693,44.4,3,0,54.345155,18.6458535
685000,Gdańsk,Orunia Górna,10888,62.91,3,4,54.3223671,18.6097199
770000,Sopot,Kamienny Potok,15746,48.9,3,2,54.4576401,18.5535799
569000,Gdynia,Pustki Cisowskie,9482,60.01,5,1,54.5380364,18.4381951
1899000,Gdańsk,Wrzeszcz,10585,179.4,2,0,54.3817696,18.6055111
389000,Gdańsk,Kowale,9725,40.0,2,3,54.3043859,18.5685833
575000,Gdańsk,Wrzeszcz,11534,49.85,2,4,54.3768985,18.6142391
859000,Gdańsk,Wrzeszcz,10364,82.88,4,0,54.3873711,18.6109253
660000,Gdynia,Witomino,11000,60.0,3,5,54.4980971,18.509797
480000,Gdynia,Witomino,8727,55.0,3,6,54.4985965,18.5074947
939000,Gdynia,Śródmieście,17906,52.44,4,1,54.5161278,18.5383627
2100000,Gdynia,Mały Kack,20000,105.0,2,0,54.4736509,18.5070401
485000,Gdańsk,Łostowice,13449,36.06,2,1,54.31051,18.5888248
399000,Gdańsk,Nowy Port,9368,42.59,2,3,54.4026276,18.6635033
877800,Gdańsk,Śródmieście,16500,53.2,4,0,54.3524391,18.6553872
949430,Gdańsk,Wrzeszcz,10143,93.6,2,0,54.3766522,18.6075306
409000,Gdańsk,Chełm,11236,36.4,3,1,54.3403608,18.6186983
719000,Gdańsk,Jasień,10972,65.53,2,1,54.3304368,18.557682
620000,Gdańsk,Przymorze,13777,45.0,3,0,54.4016383,18.5772394
755000,Gdynia,Kamienna Góra,14640,51.57,2,4,54.512028150000006,18.54605645661309
399000,Gdańsk,Chełm,11667,34.2,4,2,54.3379912,18.6186695
457000,Gdynia,Obłuże,7140,64.0,2,2,54.5613039,18.5097215
459000,Gdańsk,Jasień,10666,43.03,3,1,54.3226204,18.5613295
480000,Gdańsk,Zaspa,13714,35.0,3,0,54.4024472,18.6112076
819000,Gdańsk,Śródmieście,14986,54.65,2,4,54.3561587,18.6503132
435000,Gdynia,Obłuże,6904,63.0,4,2,54.5543531,18.52428443988323
1550000,Gdynia,Chwarzno,16645,93.12,5,0,54.5008511,18.4367993
2390000,Sopot,Dolny Sopot,21806,109.6,2,0,54.4455333,18.566533
636000,Gdańsk,Przymorze,12569,50.6,1,2,54.4075598,18.5814495
289000,Gdańsk,Łostowice,11560,25.0,3,8,54.3127604,18.5867602
670000,Gdańsk,Dolne miasto,10948,61.2,2,3,54.3401141,18.6541909
449000,Gdańsk,Zaspa,14483,31.0,3,0,54.394244,18.5874811
4500000,Gdynia,Orłowo,42938,104.8,2,2,54.4809525,18.5530721
420000,Gdańsk,Stogi,9929,42.3,3,4,54.358222,18.7053712
550000,Gdynia,Obłuże,8857,62.1,3,5,54.5561323,18.5159483
699000,Gdynia,Wiczlino,11334,61.67,4,1,54.4866168,18.4280547
2319500,Gdańsk,Przymorze,16334,142.0,3,0,54.4118424,18.5800608
845000,Gdańsk,Śródmieście,13000,65.0,4,1,54.3541529,18.6413383
1299000,Gdańsk,Długie ogrody,12490,104.0,3,3,54.3490788,18.6663406
725000,Gdańsk,Aniołki,8519,85.1,3,0,54.3651166,18.6310928
863000,Gdańsk,Oliwa,8460,102.0,1,3,54.39640495,18.57400997579134
230000,Gdynia,Chylonia,13529,17.0,2,1,54.5448438,18.4619638
405000,Gdynia,Chylonia,8804,46.0,5,2,54.5355426,18.4593452
419000,Gdańsk,Jasień,10023,41.8,2,1,54.3433363,18.5622703
469000,Gdańsk,Przymorze,10422,45.0,4,1,54.4085855,18.5886131
990000,Gdańsk,Jelitkowo,33000,30.0,2,0,54.4217032,18.6019497
2750000,Gdańsk,Brzeźno,27777,99.0,4,2,54.4045572,18.6473624
1169000,Gdynia,Wielki Kack,14256,82.0,3,0,54.4508963,18.457531
980000,Gdańsk,Dolne miasto,10103,97.0,1,1,54.342615,18.6621761
830000,Gdańsk,Osowa,12388,67.0,3,5,54.4196717,18.4524371
622000,Gdańsk,Śródmieście,16325,38.1,3,1,54.3555085,18.6543809
1400000,Gdańsk,Brzeźno,20000,70.0,4,9,54.40100555,18.637699229305767
3750000,Gdańsk,Śródmieście,36732,102.09,3,10,54.3456228,18.6558958
2250000,Sopot,Dolny Sopot,26248,85.72,3,1,54.4480421,18.565532
669000,Sopot,Kamienny Potok,12598,53.1,2,0,54.4541519,18.5520781
379000,Gdynia,Witomino,11017,34.4,2,4,54.5013131,18.5144914
445000,Gdynia,Redłowo,8900,50.0,2,1,54.4944768,18.5505612
434000,Gdańsk,Stogi,10585,41.0,3,5,54.3635267,18.713051
415000,Gdańsk,Orunia,10921,38.0,2,4,54.3228794,18.6375796
799000,Gdańsk,Letnica,10798,73.99,3,4,54.3897682,18.6470773
498000,Sopot,Brodwino,12146,41.0,2,0,54.4566205,18.5334087
1041840,Gdańsk,Długie ogrody,18000,57.88,3,2,54.3490925,18.6632116
968940,Gdańsk,Długie ogrody,18000,53.83,2,3,54.3490925,18.6632116
718000,Gdańsk,Śródmieście,16318,44.0,3,10,54.3487517,18.6471706
680000,Gdańsk,Jasień,10029,67.8,1,2,54.3450621,18.537393
749000,Gdynia,Wielki Kack,11888,63.0,2,0,54.467454,18.4899048
479000,Gdynia,Witomino,12605,38.0,3,5,54.4941108,18.5063392
1140000,Gdańsk,Przymorze,18968,60.1,2,4,54.4129614,18.5838044
730000,Gdańsk,Letnica,15355,47.54,2,1,54.3897682,18.6470773
399000,Gdańsk,Nowy Port,7980,50.0,2,0,54.3993431,18.6689076
799000,Gdańsk,Przymorze,12523,63.8,2,4,54.4106093,18.5747977
550000,Gdynia,Wiczlino,12098,45.46,3,4,54.4948708,18.4405821
998000,Gdańsk,Przymorze,19526,51.11,3,5,54.4113743,18.604755
499000,Gdynia,Chylonia,9323,53.52,2,5,54.5448438,18.4619638
419000,Gdynia,Chylonia,10939,38.3,2,3,54.5448438,18.4619638
599000,Gdańsk,Letnica,12637,47.4,3,0,54.3897682,18.6470773
419000,Gdynia,Chylonia,10743,39.0,3,0,54.5448438,18.4619638
1100000,Gdynia,Kamienna Góra,17336,63.45,2,0,54.5104774,18.5451796
555000,Gdańsk,Przymorze,10673,52.0,4,3,54.4066572,18.5836606
570000,Gdańsk,Orunia Górna,10307,55.3,6,0,54.3243511,18.6067995
710000,Gdynia,Oksywie,12033,59.0,4,2,54.5458913,18.5362053
1199000,Gdynia,Redłowo,11311,106.0,3,0,54.4973516,18.5421742
899000,Gdańsk,Łostowice,10588,84.9,1,2,54.321239,18.5985619
370000,Gdynia,Wielki Kack,11562,32.0,3,3,54.4686412,18.490985
1260000,Gdańsk,Wrzeszcz,9813,128.4,4,1,54.375924,18.6143185
780000,Gdynia,Dąbrowa,12452,62.64,3,0,54.4595175,18.4524723
949000,Gdynia,Oksywie,10509,90.3,2,3,54.5495901,18.5262032
499000,Gdynia,Babie Doły,5940,84.0,5,0,54.5779338,18.539331
1749000,Gdańsk,Wrzeszcz,20103,87.0,3,0,54.3965758,18.6178476
669000,Gdańsk,Kiełpinek,13117,51.0,3,6,54.350542,18.5374307
715000,Gdańsk,Wrzeszcz,12883,55.5,3,4,54.3894849,18.6183033
889000,Gdynia,Dąbrowa,5988,148.45,2,5,54.4746948,18.4580285
485000,Gdynia,Chylonia,9133,53.1,3,1,54.5422938,18.4620586
415000,Gdańsk,Żabianka,11690,35.5,3,3,54.4246549,18.5848093
1950000,Gdańsk,Przymorze,28260,69.0,3,4,54.4141882,18.598898
1003088,Gdańsk,Długie ogrody,17250,58.15,8,3,54.3490925,18.6632116
1058255,Gdańsk,Długie ogrody,17750,59.62,2,10,54.3490925,18.6632116
2957168,Gdańsk,Długie ogrody,17250,171.43,3,6,54.3490925,18.6632116
956225,Gdańsk,Długie ogrody,17850,53.57,3,1,54.3490925,18.6632116
469000,Gdynia,Leszczynki,8911,52.63,3,2,54.5342452,18.4874373
665000,Gdańsk,Zaspa,10830,61.4,3,5,54.4001769,18.6059878
695000,Gdańsk,Chełm,11525,60.3,5,1,54.3384804,18.6059547
1170000,Gdańsk,Letnica,13844,84.51,4,3,54.3904967,18.6474929
1489000,Gdańsk,Zaspa,16674,89.3,2,0,54.4024472,18.6112076
2250000,Sopot,Dolny Sopot,26248,85.72,2,3,54.4480421,18.565532
890000,Gdańsk,Brzeźno,21220,41.94,3,1,54.4064607,18.6279679
900000,Gdańsk,Przymorze,20882,43.1,2,3,54.4129614,18.5838044
705000,Gdańsk,Zaspa,11172,63.1,3,2,54.3903682,18.6046858
399000,Gdańsk,Łostowice,12022,33.19,2,5,54.31051,18.5888248
895000,Gdańsk,Wrzeszcz,11730,76.3,5,5,54.374358,18.6065468
938875,Gdańsk,Długie ogrody,17500,53.65,13,0,54.3490925,18.6632116
1498508,Gdańsk,Długie ogrody,17250,86.87,3,3,54.3490925,18.6632116
4552625,Gdańsk,Długie ogrody,17500,260.15,3,4,54.3490925,18.6632116
549000,Gdańsk,Nowy Port,8588,63.92,2,2,54.4026276,18.6635033
545000,Gdańsk,Wrzeszcz,14729,37.0,2,2,54.3768101,18.61329207601881
399000,Gdynia,Pustki Cisowskie,8630,46.23,3,0,54.5329163,18.4500526
645000,Gdańsk,Jasień,11006,58.6,3,1,54.3316163,18.5487117
1099000,Gdańsk,Letnica,13382,82.12,1,2,54.3981198,18.6476667
380000,Gdańsk,Jasień,13272,28.63,2,4,54.3339291,18.5669616
570000,Gdańsk,Wrzeszcz,14250,40.0,3,1,54.3881966,18.6209333
419000,Gdynia,Grabówek,9311,45.0,3,5,54.5274504,18.5101984
670000,Gdańsk,Ujeścisko,10468,64.0,3,1,54.3295082,18.5795942
609000,Gdańsk,Jasień,9983,61.0,2,1,54.3238638,18.5586781
2300000,Gdańsk,Długie ogrody,17557,131.0,2,1,54.3505768,18.6615653
998000,Gdańsk,Przymorze,19527,51.11,4,3,54.4113743,18.604755
459000,Gdańsk,Siedlce,10674,43.0,3,2,54.3502074,18.6245231
1600000,Gdańsk,Wrzeszcz,18687,85.62,3,4,54.3833813,18.6127526
1390000,Gdańsk,Przymorze,18430,75.42,3,6,54.4043074,18.576655
729000,Gdańsk,Młode miasto,11215,65.0,2,4,54.3634523,18.6469647
619000,Gdańsk,Zaspa,9825,63.0,2,7,54.3885698,18.6030886
1360000,Gdańsk,Śródmieście,28006,48.56,1,2,54.3558637,18.661659
1337000,Gdańsk,Długie ogrody,24990,53.5,4,9,54.3494168,18.6602316
360000,Gdańsk,Przymorze,12000,30.0,1,4,54.4091767,18.5832127
1990000,Gdańsk,Przymorze,21397,93.0,2,0,54.4068159,18.611404899994987
370000,Gdańsk,Siedlce,11935,31.0,3,4,54.3493986,18.6355331
520000,Gdańsk,Wrzeszcz,11183,46.5,2,2,54.3873711,18.6109253
760000,Gdańsk,Ujeścisko,11343,67.0,2,2,54.3392888,18.5860803
530000,Gdańsk,Brzeźno,12661,41.86,4,4,54.4013235,18.633564406011097
1190000,Sopot,Wyścigi / Karlikowo,27674,43.0,2,0,54.4349367,18.5784558
699000,Gdańsk,Orunia,8500,82.23,2,5,54.3318822,18.634816
479000,Gdańsk,Przymorze,10644,45.0,4,2,54.4016383,18.5772394
969000,Gdynia,Redłowo,11112,87.2,4,8,54.4911699,18.5434649
779000,Gdańsk,Siedlce,11289,69.0,3,2,54.3493986,18.6355331
1299000,Sopot,Kamienny Potok,15841,82.0,3,3,54.4576401,18.5535799
790000,Gdynia,Pogórze,11279,70.04,5,3,54.5597264,18.4864328
1399000,Sopot,Dolny Sopot,21332,65.58,4,0,54.4426677,18.5653373
799000,Gdańsk,Kokoszki,7910,101.0,2,1,54.3543481,18.4942662
987000,Gdańsk,Długie ogrody,20179,48.91,3,1,54.3490925,18.6632116
