Cena,Miasto,Dzielnica,Cena za m2,M2,Pokoje,Pietro,Szerokosc,Dlugosc
449000,Gdynia,Obłuże,8314,54.0,4,0,54.5613039,18.5097215
780000,Gdańsk,Osowa,11304,69.0,3,3,54.4222198,18.4526329
439000,Gdynia,Oksywie,7322,59.95,3,0,54.5489093,18.5476574
1199000,Gdańsk,Wrzeszcz,13161,91.1,4,4,54.3756492,18.6112692
625000,Gdańsk,Jasień,8333,75.0,3,0,54.3400353,18.563022
945000,Gdańsk,Przymorze,14928,63.3,3,1,54.4158038,18.5869742
749000,Gdańsk,Zaspa,10431,71.8,2,2,54.3933709,18.6116016
450000,Gdańsk,Przymorze,10000,45.0,4,3,54.4029271,18.5984809
519000,Gdańsk,Długie ogrody,12783,40.6,3,3,54.3487555,18.6698573
1199000,Sopot,Dolny Sopot,15571,77.0,4,2,54.4426601,18.56286703474628
799000,Gdańsk,Żabianka,12682,63.0,4,2,54.4237482,18.5734388
799000,Gdańsk,Żabianka,12682,63.0,3,4,54.4237482,18.5734388
555000,Gdynia,Pogórze,7807,71.09,2,5,54.5593172,18.4945952
548000,Gdańsk,Jasień,13642,40.17,3,3,54.3536518,18.5500839
1490000,Gdańsk,Przymorze,25310,58.87,2,0,54.4141882,18.598898
566000,Gdynia,Wiczlino,10481,54.0,2,3,54.4948708,18.4405821
399000,Gdańsk,Jasień,10204,39.1,3,3,54.3316163,18.5487117
596000,Gdynia,Wiczlino,10082,59.11,3,3,54.4866168,18.4280547
599000,Gdańsk,Kokoszki,11519,52.0,3,3,54.3576658,18.5016169
580000,Gdańsk,Zakoniczyn,10977,52.84,2,4,54.318336,18.5676373
440000,Gdańsk,Brzeźno,9979,44.09,2,4,54.404967,18.6431622
480000,Sopot,Brodwino,11428,42.0,3,1,54.4566205,18.5334087
685000,Gdańsk,Łostowice,10669,64.2,1,14,54.3152398,18.5911515
569000,Gdańsk,Letnica,18354,31.0,3,2,54.3904967,18.6474929
699000,Gdańsk,Aniołki,12209,57.25,3,1,54.3644862,18.6318543
939000,Gdańsk,Śródmieście,14152,66.35,4,0,54.3561587,18.6503132
849000,Gdańsk,Wrzeszcz,9976,85.1,2,4,54.3765612,18.6032365
750000,Gdańsk,Przymorze,19230,39.0,3,2,54.4038042,18.5863252
1470000,Sopot,Dolny Sopot,30772,47.77,4,0,54.4412515,18.5729606
860000,Gdańsk,Osowa,10058,85.5,2,3,54.4222198,18.4526329
379000,Gdynia,Chylonia,9643,39.3,3,0,54.5417838,18.461057
1150000,Gdańsk,Zaspa,17968,64.0,2,5,54.3955294,18.6031243
519000,Gdańsk,Żabianka,16741,31.0,3,1,54.42159275,18.580194822369624
647000,Gdańsk,Brzeźno,14873,43.5,2,4,54.40368675,18.64278115
549000,Gdańsk,Zaspa,13793,39.8,3,0,54.3949615,18.6108604
429000,Gdańsk,Chełm,8881,48.3,2,1,54.3417922,18.6278463
499000,Gdynia,Działki Leśne,9415,53.0,2,0,54.521185,18.5267091
549000,Gdańsk,Oliwa,9983,54.99,1,0,54.4233923,18.5640508
569000,Gdańsk,Oliwa,10735,53.0,3,1,54.39640495,18.57400997579134
1050000,Gdańsk,Śródmieście,19387,54.16,3,2,54.3556503,18.6489283
918000,Gdynia,Mały Kack,11447,80.19,3,3,54.4789805,18.5213848
529000,Gdańsk,Osowa,11400,46.4,2,4,54.4211843,18.4610398
439000,Gdynia,Chylonia,10305,42.6,3,2,54.5457503,18.4636617
480000,Gdynia,Pogórze,8988,53.4,2,1,54.5584156,18.4759345
449000,Gdańsk,Zakoniczyn,10441,43.0,4,3,54.3179487,18.5682681
1225000,Gdynia,Redłowo,14095,86.91,4,2,54.4911699,18.5434649
515000,Gdańsk,Jasień,6831,75.39,3,0,54.3235259,18.556442
579000,Gdańsk,Zakoniczyn,10414,55.6,3,6,54.318336,18.5676373
657000,Gdańsk,Jasień,11612,56.58,3,2,54.3272503,18.5595174
399999,Gdynia,Obłuże,7239,55.25,1,2,54.5531148,18.5175055
549000,Gdańsk,Łostowice,9982,55.0,5,2,54.3143954,18.5946641
2100000,Sopot,Dolny Sopot,13803,152.14,3,0,54.4489703,18.5564819
589000,Gdańsk,Wrzeszcz,9639,61.1,3,0,54.3739989,18.6154218
579000,Gdańsk,Zakoniczyn,10414,55.6,3,8,54.318336,18.5676373
449000,Gdańsk,Wrzeszcz,9530,47.11,4,3,54.3793843,18.5835149
860000,Gdańsk,Ujeścisko,9247,93.0,3,0,54.3264755,18.5835616
