,Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro,Currency,Miasto,Dzielnica,Wspolrzedne,Szerokosc,Dlugosc
40,"Gdańsk Chełm, Chałubińskiego",679000,10287,66.0,3,5,PLN,Gdańsk,Chełm,"Chałubińskiego, Aleja generała Władysława Sikorskiego, Chełm A-1, Chełm, Gdańsk, województwo pomorskie, 80-807, Polska",54.3419017,18.6176897
41,"Gdańsk Morena, Hausbrandta",569000,12650,44.98,2,0,PLN,Gdańsk,Morena,"Profesora Stefana Hausbrandta, Słoneczna Morena, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-130, Polska",54.3487874,18.5881784
42,"Gdynia Karwiny, Iwaszkiewicza",363000,10083,36.0,2,3,PLN,Gdynia,Karwiny,"Jarosława Iwaszkiewicza, Karwiny II, Karwiny, Gdynia, województwo pomorskie, 81-575, Polska",54.4736423,18.4942958
43,"Gdynia Redłowo, Legionów 100",1225431,14100,86.91,4,3,PLN,Gdynia,Redłowo,"100, Legionów, Redłowo, Gdynia, województwo pomorskie, 81-450, Polska",54.49655895,18.54078213373733
44,Gdańsk Żabianka,429998,11315,38.0,2,0,PLN,Gdańsk,Żabianka,"Żabianka, Żabianka-Wejhera-Jelitkowo-Tysiąclecia, Gdańsk, województwo pomorskie, 80-333, Polska",54.4201197,18.5756153
45,"Gdynia Dąbrowa, Kolendrowa",550000,8634,63.7,3,1,PLN,Gdynia,Dąbrowa,"Kolendrowa, Dąbrówka, Dąbrowa, Gdynia, województwo pomorskie, 81-589, Polska",54.4698964,18.4668049
46,"Gdańsk Morena, Prof. Stefana Myczkowskiego",595000,7179,82.88,4,4,PLN,Gdańsk,Morena,,,
47,"Gdańsk Łostowice, Koprowskiego",901000,8342,108.0,5,0,PLN,Gdańsk,Łostowice,,,
48,"Gdynia Działki Leśne, Szczecińska 23",479000,11936,40.13,2,1,PLN,Gdynia,Działki Leśne,"23, Szczecińska, Działki Leśne, Gdynia, województwo pomorskie, 81-326, Polska",54.5170763,18.5173829
49,"Gdańsk Długie Ogrody, Szafarnia",2480000,25860,95.9,4,2,PLN,Gdańsk,Długie ogrody,"Szafarnia, Wyspa Spichrzów, Śródmieście, Gdańsk, województwo pomorskie, 80-755, Polska",54.3494168,18.6602316
50,"Gdańsk Przymorze, Malborska",649000,12087,53.69,3,1,PLN,Gdańsk,Przymorze,"Malborska, Mała Warszawa, Przymorze Małe, Gdańsk, województwo pomorskie, 80-392, Polska",54.4004043,18.5794872
51,"Gdynia Chylonia, Młyńska",429000,9533,45.0,2,2,PLN,Gdynia,Chylonia,"Młyńska, Chylonia, Gdynia, województwo pomorskie, 81-213, Polska",54.5388666,18.4812602
52,Gdańsk Kowale,799000,8666,92.2,4,2,PLN,Gdańsk,Kowale,"Kowale, gmina Kolbudy, powiat gdański, województwo pomorskie, 80-180, Polska",54.31119,18.56453
53,"Gdynia Wiczlino, Gen. Mariusza Zaruskiego",720000,10690,67.35,3,1,PLN,Gdynia,Wiczlino,"Generała Mariusza Zaruskiego, Sokółka, Chwarzno-Wiczlino, Gdynia, województwo pomorskie, 81-577, Polska",54.4939336,18.4306437
54,Gdańsk Siedlce,559000,11502,48.6,3,1,PLN,Gdańsk,Siedlce,"Siedlce, Gdańsk, województwo pomorskie, Polska",54.3500247,18.6180712
55,"Gdynia Mały Kack, Strzelców",849000,12128,70.0,3,1,PLN,Gdynia,Mały Kack,"Strzelców, Kolonia Wielki Kack, Mały Kack, Gdynia, województwo pomorskie, 81-586, Polska",54.4736509,18.5070401
56,"Gdynia Wielki Kack, Lesoka",830000,9880,84.0,4,1,PLN,Gdynia,Wielki Kack,"Lesoka, Wielki Kack, Gdynia, województwo pomorskie, 81-575, Polska",54.4636595,18.4946838
57,"Gdynia Redłowo, Herberta",429000,10214,42.0,1,0,PLN,Gdynia,Redłowo,"Zbigniewa Herberta, Redłowo, Gdynia, województwo pomorskie, 81-471, Polska",54.4946583,18.5472092
58,"Gdynia Oksywie, Gen. Stanisława Karpińskiego",495000,11169,44.32,2,10,PLN,Gdynia,Oksywie,"Generała Stanisława Karpińskiego, Komandorskie Wzgórze, Oksywie, Gdynia, województwo pomorskie, 81-173, Polska",54.5492846,18.5241345
59,"Sopot Kamienny Potok, Kraszewskiego",669000,12598,53.1,3,1,PLN,Sopot,Kamienny Potok,"Józefa Kraszewskiego, Kamienny Potok, Sopot, województwo pomorskie, 81-815, Polska",54.4541519,18.5520781
60,Gdańsk Jasień,1099000,9866,111.39,4,2,PLN,Gdańsk,Jasień,"Gdańsk Jasień, Generała Władysława Andersa, Jasień, Gdańsk, województwo pomorskie, 80-283, Polska",54.3536518,18.5500839
61,"Gdańsk Przymorze, Śląska",599000,10327,58.0,3,4,PLN,Gdańsk,Przymorze,"Śląska, Przymorze Małe, Gdańsk, województwo pomorskie, 80-379, Polska",54.4066572,18.5836606
62,"Gdańsk Przymorze, Obrońców Wybrzeża",1189000,18462,64.4,3,3,PLN,Gdańsk,Przymorze,"Obrońców Wybrzeża, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-375, Polska",54.4087838,18.5891854
63,"Gdańsk Łostowice, Niepołomicka",699000,8956,78.04,4,2,PLN,Gdańsk,Łostowice,"Niepołomicka, Łostowice, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.3143954,18.5946641
64,"Gdańsk Długie Ogrody, Łąkowa 62",850000,11643,73.0,3,1,PLN,Gdańsk,Długie ogrody,"62, Łąkowa, Długie Ogrody, Śródmieście, Gdańsk, województwo pomorskie, 80-769, Polska",54.34695075,18.66372656576548
65,"Gdańsk Wrzeszcz, Sochaczewska",549000,11631,47.2,2,1,PLN,Gdańsk,Wrzeszcz,"Sochaczewska, Nowe Szkoty, Wrzeszcz Dolny, Gdańsk, województwo pomorskie, 80-407, Polska",54.383418,18.6241828
66,"Gdańsk Chełm, Łużycka",379000,8613,44.0,2,1,PLN,Gdańsk,Chełm,"Łużycka, Stary Chełm, Chełm, Gdańsk, województwo pomorskie, 80-808, Polska",54.3401836,18.6279607
67,"Gdynia Redłowo, Powstania Śląskiego 4",569000,13770,41.32,2,4,PLN,Gdynia,Redłowo,"4, Powstania Śląskiego, Redłowo, Gdynia, województwo pomorskie, 81-466, Polska",54.492207300000004,18.553742873636363
68,Gdynia Fikakowo,899000,10601,84.8,3,0,PLN,Gdynia,,"Fikakowo, Wielki Kack, Gdynia, województwo pomorskie, 81-572, Polska",54.466188149999994,18.48717581309775
69,"Gdynia Działki Leśne, Śląska 32",489000,12225,40.0,2,2,PLN,Gdynia,Działki Leśne,"Naprawa odzieży, 32, Śląska, Działki Leśne, Gdynia, województwo pomorskie, 81-310, Polska",54.5155466,18.5320359
70,"Gdańsk Ujeścisko, Mariana Kołodzieja",599000,11278,53.11,3,10,PLN,Gdańsk,Ujeścisko,"Mariana Kołodzieja, Słoneczne Wzgórza, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-158, Polska",54.3335069,18.5857229
71,"Gdynia Chylonia, Wiejska",325000,11732,27.7,1,1,PLN,Gdynia,Chylonia,"Wiejska, Chylonia, Gdynia, województwo pomorskie, 81-052, Polska",54.5392602,18.471961
72,"Gdynia Działki Leśne, Pomorska",980000,10979,89.26,4,3,PLN,Gdynia,Działki Leśne,"Pomorska, Działki Leśne, Gdynia, województwo pomorskie, 81-314, Polska",54.5154303,18.5302846
73,"Gdańsk Łostowice, Andrzeja Grubby",500000,9701,51.54,3,1,PLN,Gdańsk,Łostowice,,,
74,"Gdańsk Wrzeszcz, Antoniego Lendziona",840000,10243,82.0,3,1,PLN,Gdańsk,Wrzeszcz,"Antoniego Lendziona, Strzyża Dolna, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-264, Polska",54.3810192,18.6026969
75,"Gdańsk Kiełpinek, Przytulna",799000,11925,67.0,3,5,PLN,Gdańsk,Kiełpinek,"Przytulna, Kiełpinek, Jasień, Gdańsk, województwo pomorskie, 80-176, Polska",54.3528312,18.5303177
76,"Gdańsk Wrzeszcz, Karola Szymanowskiego",1140000,19144,59.55,3,4,PLN,Gdańsk,Wrzeszcz,"Karola Szymanowskiego, Strzyża Górna, Strzyża, Gdańsk, województwo pomorskie, 80-280, Polska",54.3844677,18.5893686
77,"Gdańsk Zaspa, Stanisława Skarżyńskiego",619000,9763,63.4,3,0,PLN,Gdańsk,Zaspa,"Stanisława Skarżyńskiego, Zaspa-Młyniec, Gdańsk, województwo pomorskie, 80-451, Polska",54.3885698,18.6030886
78,"Gdynia Mały Kack, Leśna",799000,11254,71.0,2,0,PLN,Gdynia,Mały Kack,"Leśna, Mały Kack, Gdynia, województwo pomorskie, 81-549, Polska",54.4693261,18.5190236
79,"Gdańsk Zakoniczyn, Stanisława Dąbka",599000,8573,69.87,3,2,PLN,Gdańsk,Zakoniczyn,"Stanisława Dąbka, Łostowice, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-180, Polska",54.3200784,18.5875564
80,"Gdańsk Jasień, Bażantowa",769000,12838,59.9,3,1,PLN,Gdańsk,Jasień,"Bażantowa, Wróbla Staw - mieszkania, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.3482702,18.5518862
81,"Gdańsk Śródmieście, Chmielna",1499000,35171,42.62,2,8,PLN,Gdańsk,Śródmieście,"Chmielna, Wyspa Spichrzów, Śródmieście, Gdańsk, województwo pomorskie, 80-748, Polska",54.3456228,18.6558958
82,"Gdańsk Wrzeszcz, Reymonta",449000,9532,47.1,3,1,PLN,Gdańsk,Wrzeszcz,"Reymonta, Bernarda Chrzanowskiego, Strzyża Górna, Strzyża, Gdańsk, województwo pomorskie, 80-285, Polska",54.3828595,18.5848639
83,"Gdańsk Łostowice, Hokejowa",629000,12847,48.96,3,2,PLN,Gdańsk,Łostowice,"Hokejowa, Wielkopolska, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-480, Polska",54.31051,18.5888248
84,"Gdańsk Osowa, Osowski Zakątek",999000,9990,100.0,4,4,PLN,Gdańsk,Osowa,"Osowski Zakątek, Wysoka, Osowa, Gdańsk, województwo pomorskie, 81-598, Polska",54.4302987,18.4793154
85,"Gdańsk Chełm, Marcina Dragana",565000,8911,63.4,4,2,PLN,Gdańsk,Chełm,"Marcina Dragana, Chełm G, Chełm, Gdańsk, województwo pomorskie, 80-807, Polska",54.3413356,18.6173376
86,"Gdynia Wielki Kack, Bieszczadzka",568000,9992,56.84,3,2,PLN,Gdynia,Wielki Kack,"Bieszczadzka, Kacze Buki, Wielki Kack, Gdynia, województwo pomorskie, 81-582, Polska",54.4508963,18.457531
87,"Gdańsk Przeróbka, Bajki",585000,10336,56.6,3,3,PLN,Gdańsk,Przeróbka,"Bajki, Przeróbka, Gdańsk, województwo pomorskie, 80-706, Polska",54.3563053,18.6825147
88,"Gdańsk Morena, Morenowe Wzgórze",1099000,11400,96.4,5,3,PLN,Gdańsk,Morena,,,
89,"Gdańsk Osowa, Międzygwiezdna",599000,9835,60.9,3,2,PLN,Gdańsk,Osowa,"Międzygwiezdna, Osowa, Gdańsk, województwo pomorskie, 81-598, Polska",54.4193835,18.4832671
90,"Gdańsk Jasień, Gabrysiak",450000,10089,44.6,2,4,PLN,Gdańsk,Jasień,"Aleksandry Gabrysiak, Osiedle Kryształowe, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.3358541,18.5570297
91,"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",419000,14964,28.0,2,2,PLN,Gdańsk,Przymorze,"Prezydenta Lecha Kaczyńskiego, Czerwony Dwór, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-367, Polska",54.4141882,18.598898
92,"Gdańsk Orunia Górna, Gabriela Rzączyńskiego",637000,10095,63.1,3,0,PLN,Gdańsk,Orunia Górna,"Gabriela Rzączyńskiego, Orunia Górna, Orunia Górna - Gdańsk Południe, Gdańsk, województwo pomorskie, 80-035, Polska",54.328371,18.6220384
93,"Gdańsk Przymorze, Piastowska",945000,14928,63.3,3,0,PLN,Gdańsk,Przymorze,"Piastowska, Wojnowo, Przymorze Małe, Gdańsk, województwo pomorskie, 80-352, Polska",54.4158038,18.5869742
94,"Gdańsk Jasień, Kazimierza Leskiego",430000,10117,42.5,2,9,PLN,Gdańsk,Jasień,"Kazimierza Leskiego, Rębowo, Jasień, Gdańsk, województwo pomorskie, 80-175, Polska",54.3238638,18.5586781
95,"Gdańsk Przymorze, Obrońców Wybrzeża",1010000,16031,63.0,3,1,PLN,Gdańsk,Przymorze,"Obrońców Wybrzeża, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-375, Polska",54.4087838,18.5891854
96,"Gdynia Śródmieście, Zygmunta Augusta",1950000,24683,79.0,4,4,PLN,Gdynia,Śródmieście,"Zygmunta Augusta, Śródmieście, Gdynia, województwo pomorskie, 81-352, Polska",54.5207059,18.54037
97,"Gdynia Chylonia, Chylońska",489000,9055,54.0,3,1,PLN,Gdynia,Chylonia,"Chylońska, Osiedle Meksyk, Chylonia, Gdynia, województwo pomorskie, 81-034, Polska",54.5448438,18.4619638
98,Gdynia Witomino,379000,10828,35.0,2,0,PLN,Gdynia,Witomino,"Witomino, Gdynia, województwo pomorskie, Polska",54.4984985,18.509001
99,"Gdynia Witomino, Wielkokacka",479000,11139,43.0,2,0,PLN,Gdynia,Witomino,"Wielkokacka, Witomino-Leśniczówka, Witomino, Gdynia, województwo pomorskie, 81-611, Polska",54.4980971,18.509797
100,"Sopot Dolny Sopot, Gen. Kazimierza Pułaskiego",1359999,19428,70.0,4,0,PLN,Sopot,Dolny Sopot,"Generała Kazimierza Pułaskiego, Sopot Dolny, Sopot, województwo pomorskie, 81-760, Polska",54.4429902,18.5662611
101,"Gdynia Chylonia, Starogardzka",419000,10219,41.0,2,0,PLN,Gdynia,Chylonia,"Starogardzka, Osiedle Meksyk, Chylonia, Gdynia, województwo pomorskie, 81-050, Polska",54.5416064,18.4692466
102,"Gdynia Chylonia, Kcyńska",439000,9340,47.0,2,0,PLN,Gdynia,Chylonia,,,
103,"Sopot Kamienny Potok, Wejherowska",825000,11458,72.0,4,5,PLN,Sopot,Kamienny Potok,"Wejherowska, Kamienny Potok, Sopot, województwo pomorskie, 81-861, Polska",54.4535297,18.5550276
104,"Gdańsk Zaspa, Startowa",649000,10639,61.0,3,5,PLN,Gdańsk,Zaspa,"Startowa, Młyniec, Zaspa-Młyniec, Gdańsk, województwo pomorskie, 80-461, Polska",54.3975453,18.5955881
105,"Gdańsk Długie Ogrody, Łąkowa",1323000,24500,54.0,2,0,PLN,Gdańsk,Długie ogrody,"Łąkowa, Długie Ogrody, Śródmieście, Gdańsk, województwo pomorskie, 80-745, Polska",54.3445039,18.6632833
106,"Gdańsk Jasień, Rycerza Blizbora",569000,10478,54.3,2,2,PLN,Gdańsk,Jasień,"Rycerza Blizbora, Os. Gardenia, Jasień, Gdańsk, województwo pomorskie, 80-125, Polska",54.3400353,18.563022
107,"Gdynia Redłowo, Powstania Styczniowego",799000,20320,39.32,2,0,PLN,Gdynia,Redłowo,"Powstania Styczniowego, Redłowo, Gdynia, województwo pomorskie, 81-519, Polska",54.4868818,18.5468412
108,"Gdynia Redłowo, Bohaterów Starówki Warszawskiej",525000,9980,52.6,2,3,PLN,Gdynia,Redłowo,"Bohaterów Starówki Warszawskiej, Redłowo, Gdynia, województwo pomorskie, 81-466, Polska",54.4944768,18.5505612
109,"Sopot Dolny Sopot, Ks. Augustyna Kordeckiego",1550000,27399,56.57,2,4,PLN,Sopot,Dolny Sopot,"Księdza Augustyna Kordeckiego, Sopot Dolny, Sopot, województwo pomorskie, 81-722, Polska",54.4427713,18.5708394
110,"Gdynia Mały Kack, Strzelców",1282000,13995,91.6,3,0,PLN,Gdynia,Mały Kack,"Strzelców, Kolonia Wielki Kack, Mały Kack, Gdynia, województwo pomorskie, 81-586, Polska",54.4736509,18.5070401
111,"Gdynia Wzgórze św. Maksymiliana, Mikołaja Reja",650000,10236,63.5,3,2,PLN,Gdynia,,"Mikołaja Reja, Wzgórze Świętego Maksymiliana, Gdynia, województwo pomorskie, 81-441, Polska",54.5046199,18.5417322
112,"Gdynia Wiczlino, Romana Felińskiego",749000,13108,57.14,3,3,PLN,Gdynia,Wiczlino,"Romana Felińskiego, Wiczlino - Ogród, Chwarzno-Wiczlino, Gdynia, województwo pomorskie, 81-578, Polska",54.4859199,18.4237969
113,"Gdańsk Dolne Miasto, Przyokopowa",645000,16125,40.0,2,0,PLN,Gdańsk,Dolne miasto,"Przyokopowa, Dolne Miasto, Śródmieście, Gdańsk, województwo pomorskie, 80-746, Polska",54.3400512,18.6541733
114,"Gdynia Obłuże, Adm. J. Unruga",379000,9973,38.0,2,1,PLN,Gdynia,Obłuże,,,
115,"Gdańsk Letnica, Letnicka",1070000,14484,73.87,3,1,PLN,Gdańsk,Letnica,"Letnicka, Kolonia Gwiazda Morza, Letnica, Gdańsk, województwo pomorskie, 80-536, Polska",54.3986679,18.646464
116,"Gdańsk Nowy Port, Na Zaspę",309000,11035,28.0,1,0,PLN,Gdańsk,Nowy Port,"Na Zaspę, Nowy Port, Gdańsk, województwo pomorskie, 80-564, Polska",54.4026276,18.6635033
117,"Gdańsk Zakoniczyn, Człuchowska",479000,8709,55.0,3,1,PLN,Gdańsk,Zakoniczyn,"Człuchowska, Zakoniczyn, Ujeścisko - Łostowice, Gdańsk, województwo pomorskie, 80-158, Polska",54.3254632,18.582743
118,"Gdynia Karwiny, Kazimierza Kruczkowskiego",649000,10285,63.1,4,12,PLN,Gdynia,Karwiny,"Kazimierza Kruczkowskiego, Karwiny II, Karwiny, Gdynia, województwo pomorskie, 81-575, Polska",54.4722746,18.4948404
119,"Gdańsk Przymorze, Olsztyńska",775000,17613,44.0,2,0,PLN,Gdańsk,Przymorze,"Olsztyńska, Biały Dwór, Przymorze Wielkie, Gdańsk, województwo pomorskie, 80-395, Polska",54.4059819,18.6039015
120,"Gdańsk Wrzeszcz, Do Studzienki",1100000,13022,84.47,4,2,PLN,Gdańsk,Wrzeszcz,"Do Studzienki, Studzienka, Wrzeszcz Górny, Gdańsk, województwo pomorskie, 80-229, Polska",54.3750671,18.6134272
121,"Gdańsk Śródmieście, Podzamcze",649000,16641,39.0,2,5,PLN,Gdańsk,Śródmieście,"Podzamcze, Osiek, Śródmieście, Gdańsk, województwo pomorskie, 80-845, Polska",54.3540791,18.6549669
