Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro
"Gdańsk Ujeścisko, Mariana Kołodzieja",599 000 zł,11278 zł/m2,53.11,3,10
"Gdynia Chylonia, Wiejska",325 000 zł,11732 zł/m2,27.7,1,1
"Gdynia Działki Leśne, Pomorska",980 000 zł,10979 zł/m2,89.26,4,3
"Gdańsk Łostowice, Andrzeja Grubby",500 000 zł,9701 zł/m2,51.54,3,1
"Gdańsk Wrzeszcz, Antoniego Lendziona",840 000 zł,10243 zł/m2,82,3,1
"Gdańsk Kiełpinek, Przytulna",799 000 zł,11925 zł/m2,67,3,5
"Gdańsk Wrzeszcz, Karola Szymanowskiego",1 140 000 zł,19144 zł/m2,59.55,3,4
"Gdańsk Zaspa, Stanisława Skarżyńskiego",619 000 zł,9763 zł/m2,63.4,3,parter
"Gdynia Mały Kack, Leśna",799 000 zł,11254 zł/m2,71,2,parter
"Gdańsk Zakoniczyn, Stanisława Dąbka",599 000 zł,8573 zł/m2,69.87,3,2
"Gdańsk Jasień, Bażantowa",769 000 zł,12838 zł/m2,59.9,3,1
"Gdańsk Śródmieście, Chmielna",1 499 000 zł,35171 zł/m2,42.62,2,8
"Gdańsk Wrzeszcz, Reymonta",449 000 zł,9532 zł/m2,47.1,3,1
"Gdańsk Łostowice, Hokejowa",629 000 zł,12847 zł/m2,48.96,3,2
"Gdańsk Osowa, Osowski Zakątek",999 000 zł,9990 zł/m2,100,4,4
"Gdańsk Chełm, Marcina Dragana",565 000 zł,8911 zł/m2,63.4,4,2
"Gdynia Wielki Kack, Bieszczadzka",568 000 zł,9992 zł/m2,56.84,3,2
"Gdańsk Przeróbka, Bajki",585 000 zł,10336 zł/m2,56.6,3,3
"Gdańsk Morena, Morenowe Wzgórze",1 099 000 zł,11400 zł/m2,96.4,5,3
"Gdańsk Osowa, Międzygwiezdna",599 000 zł,9835 zł/m2,60.9,3,2
"Gdańsk Jasień, Gabrysiak",450 000 zł,10089 zł/m2,44.6,2,4
"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",419 000 zł,14964 zł/m2,28,2,2
"Gdańsk Orunia Górna, Gabriela Rzączyńskiego",637 000 zł,10095 zł/m2,63.1,3,parter
"Gdańsk Przymorze, Piastowska",945 000 zł,14928 zł/m2,63.3,3,parter
"Gdańsk Jasień, Kazimierza Leskiego",430 000 zł,10117 zł/m2,42.5,2,9
"Gdańsk Przymorze, Obrońców Wybrzeża",1 010 000 zł,16031 zł/m2,63,3,1
"Gdynia Śródmieście, Zygmunta Augusta",1 950 000 zł,24683 zł/m2,79,4,4
"Gdynia Chylonia, Chylońska",489 000 zł,9055 zł/m2,54,3,1
Gdynia Witomino,379 000 zł,10828 zł/m2,35,2,parter
"Gdynia Witomino, Wielkokacka",479 000 zł,11139 zł/m2,43,2,parter
"Sopot Dolny Sopot, Gen. Kazimierza Pułaskiego",1 359 999 zł,19428 zł/m2,70,4,parter
"Gdynia Chylonia, Starogardzka",419 000 zł,10219 zł/m2,41,2,parter
"Gdynia Chylonia, Kcyńska",439 000 zł,9340 zł/m2,47,2,parter
"Sopot Kamienny Potok, Wejherowska",825 000 zł,11458 zł/m2,72,4,5
"Gdańsk Zaspa, Startowa",649 000 zł,10639 zł/m2,61,3,5
"Gdańsk Długie Ogrody, Łąkowa",1 323 000 zł,24500 zł/m2,54,2,parter
"Gdańsk Jasień, Rycerza Blizbora",569 000 zł,10478 zł/m2,54.3,2,2
"Gdynia Redłowo, Powstania Styczniowego",799 000 zł,20320 zł/m2,39.32,2,parter
"Gdynia Redłowo, Bohaterów Starówki Warszawskiej",525 000 zł,9980 zł/m2,52.6,2,3
"Sopot Dolny Sopot, Ks. Augustyna Kordeckiego",1 550 000 zł,27399 zł/m2,56.57,2,4
"Gdynia Mały Kack, Strzelców",1 282 000 zł,13995 zł/m2,91.6,3,parter
"Gdynia Wzgórze św. Maksymiliana, Mikołaja Reja",650 000 zł,10236 zł/m2,63.5,3,2
"Gdynia Wiczlino, Romana Felińskiego",749 000 zł,13108 zł/m2,57.14,3,3
"Gdańsk Dolne Miasto, Przyokopowa",645 000 zł,16125 zł/m2,40,2,parter
"Gdynia Obłuże, Adm. J. Unruga",379 000 zł,9973 zł/m2,38,2,1
"Gdańsk Letnica, Letnicka",1 070 000 zł,14484 zł/m2,73.87,3,1
"Gdańsk Nowy Port, Na Zaspę",309 000 zł,11035 zł/m2,28,1,parter
"Gdańsk Zakoniczyn, Człuchowska",479 000 zł,8709 zł/m2,55,3,1
"Gdynia Karwiny, Kazimierza Kruczkowskiego",649 000 zł,10285 zł/m2,63.1,4,12
"Gdańsk Przymorze, Olsztyńska",775 000 zł,17613 zł/m2,44,2,parter
"Gdańsk Wrzeszcz, Do Studzienki",1 100 000 zł,13022 zł/m2,84.47,4,2
"Gdańsk Śródmieście, Podzamcze",649 000 zł,16641 zł/m2,39,2,5
"Gdańsk Śródmieście, Wałowa",765 000 zł,21327 zł/m2,35.87,2,1
"Gdańsk Łostowice, Ofiar Grudnia 70",379 000 zł,8239 zł/m2,46,3,parter
"Gdańsk Stogi, Wrzosy",409 000 zł,11685 zł/m2,35,2,parter
"Gdynia Redłowo, Powstania Wielkopolskiego",990 000 zł,19800 zł/m2,50,2,12
"Gdańsk Wrzeszcz, Grudziądzka",4 500 000 zł,35714 zł/m2,126,5,1
"Gdańsk Śródmieście, Podwale Staromiejskie",1 399 000 zł,13074 zł/m2,107,3,parter
"Gdynia Mały Kack, Leśna",1 100 000 zł,14120 zł/m2,77.9,3,1
"Gdańsk Jasień, Lawendowe Wzgórze",430 000 zł,13129 zł/m2,32.75,2,parter
"Gdańsk Chełm, Tytusa Chałubińskiego",409 000 zł,11685 zł/m2,35,2,1
"Gdańsk Siedlce, Skarpowa",489 999 zł,9193 zł/m2,53.3,2,parter
"Gdańsk Łostowice, Niepołomicka",529 000 zł,8493 zł/m2,62.28,3,3
"Gdynia Karwiny, Krzysztofa Kamila Baczyńskiego",439 000 zł,8540 zł/m2,51.4,2,1
"Gdańsk Śródmieście, Szeroka",999 000 zł,17839 zł/m2,56,3,1
"Gdańsk Morena, Bronisława Czecha",579 000 zł,9539 zł/m2,60.7,3,2
"Gdańsk Przymorze, Olsztyńska",575 000 zł,12777 zł/m2,45,2,1
"Gdańsk Młode Miasto, Rybaki Górne",839 000 zł,14982 zł/m2,56,2,3
"Gdańsk Ujeścisko, Przemyska",385 000 zł,11846 zł/m2,32.5,2,parter
"Gdynia Wiczlino, Stanisława Filipkowskiego",767 500 zł,10964 zł/m2,70,3,1
"Gdańsk Siedlce, Jacka Malczewskiego",579 000 zł,11913 zł/m2,48.6,3,1
"Gdańsk Stogi, Jeremiasza Falck Polonusa",469 000 zł,8542 zł/m2,54.9,2,1
"Gdańsk Chełm, Antoniego Madalińskiego",469 000 zł,13148 zł/m2,35.67,2,3
"Gdańsk Wrzeszcz, Bolesława Chrobrego",990 000 zł,15541 zł/m2,63.7,3,1
"Gdynia Wielki Kack, Górnicza",489 000 zł,7899 zł/m2,61.9,2,3
"Gdańsk Letnica, Starowiejska",669 000 zł,15204 zł/m2,44,2,1
"Gdańsk Kowale, Zeusa",549 000 zł,9305 zł/m2,59,3,3
"Gdynia Obłuże, Benisławskiego",449 000 zł,8503 zł/m2,52.8,3,parter
"Gdańsk Łostowice, Wielkopolska",289 000 zł,11560 zł/m2,25,1,parter
"Gdańsk Zakoniczyn, Konrada Guderskiego",599 000 zł,9983 zł/m2,60,3,2
"Gdańsk Morena, Królewskie Wzgórze",775 000 zł,12116 zł/m2,63.96,3,1
"Gdańsk Św. Wojciech, Kazimierza Wielkiego",449 000 zł,10441 zł/m2,43,2,2
"Gdynia Wiczlino, Stanisława Filipkowskiego",599 000 zł,11098 zł/m2,53.97,3,2
"Gdańsk Jasień, Pólnicy",579 000 zł,9338 zł/m2,62,3,2
"Gdańsk Łostowice, Pastelowa",380 000 zł,9857 zł/m2,38.55,2,parter
"Gdańsk Stogi, Tamka",420 000 zł,9767 zł/m2,43,2,2
"Gdańsk Śródmieście, Jana Heweliusza",895 000 zł,14489 zł/m2,61.77,3,4
"Gdańsk Stare Przedmieście, Lastadia",1 950 000 zł,21666 zł/m2,90,3,1
"Gdańsk Wrzeszcz, Grunwaldzka",849 000 zł,11841 zł/m2,71.7,4,2
"Gdynia Mały Kack, Olgierda",1 070 000 zł,14494 zł/m2,73.82,3,parter
"Gdańsk Morena, Magellana",749 000 zł,11348 zł/m2,66,3,1
"Gdańsk Ujeścisko, Anny Jagiellonki",629 000 zł,9388 zł/m2,67,3,parter
"Gdańsk Ujeścisko, Nieborowska",459 000 zł,10305 zł/m2,44.54,2,2
"Gdańsk Śródmieście, Rajska",1 250 000 zł,21551 zł/m2,58,3,parter
"Gdańsk Żabianka, Tysiąclecia",410 000 zł,18636 zł/m2,22,1,3
"Gdańsk Strzyża, Wojska Polskiego",679 000 zł,13913 zł/m2,48.8,3,2
"Gdańsk Wrzeszcz, Grudziądzka",775 000 zł,18953 zł/m2,40.89,2,1
"Gdańsk Wrzeszcz, Partyzantów",789 000 zł,12384 zł/m2,63.71,3,1
"Gdynia Witomino, Konwaliowa",519 000 zł,9664 zł/m2,53.7,3,9
"Gdańsk Przymorze, Olsztyńska",1 150 000 zł,17113 zł/m2,67.2,3,parter
"Gdańsk Stogi, Hoża",390 000 zł,9154 zł/m2,42.6,2,4
"Gdynia Redłowo, Powstania Wielkopolskiego",529 000 zł,11255 zł/m2,47,3,1
"Gdańsk Jasień, Konrada Guderskiego",635 000 zł,10382 zł/m2,61.16,3,parter
"Sopot Górny Sopot, Okrężna",2 244 000 zł,10782 zł/m2,208.11,6,4
"Gdańsk Żabianka, Tysiąclecia",429 000 zł,19066 zł/m2,22.5,1,3
"Gdańsk Siedlce, Zakopiańska",669 000 zł,11608 zł/m2,57.63,2,2
"Gdańsk Ujeścisko, Rogalińska",520 000 zł,11016 zł/m2,47.2,2,8
"Gdańsk Oliwa, Pawła Gdańca",399 000 zł,13125 zł/m2,30.4,1,parter
"Gdynia Witomino, Narcyzowa",459 000 zł,10800 zł/m2,42.5,2,6
"Gdańsk Wrzeszcz, Róży Ostrowskiej",669 000 zł,12575 zł/m2,53.2,3,3
"Gdańsk Długie Ogrody, Jana Dziewanowskiego",949 000 zł,10845 zł/m2,87.5,3,3
"Gdańsk Jasień, Leszczynowa",540 000 zł,9964 zł/m2,54.19,2,6
"Gdańsk Zaspa, Kombatantów",349 000 zł,13169 zł/m2,26.5,1,parter
"Gdańsk Ujeścisko, Wawelska",545 000 zł,10341 zł/m2,52.7,2,3
"Gdańsk Żabianka, Gospody",480 000 zł,10389 zł/m2,46.2,3,parter
"Gdynia Chylonia, Chylońska",389 900 zł,9139 zł/m2,42.66,2,1
"Gdynia Dąbrowa, Rdestowa",439 000 zł,9261 zł/m2,47.4,2,4
"Gdańsk Łostowice, Niepołomicka",515 000 zł,9537 zł/m2,54,2,3
"Gdynia Obłuże, Stolarska",328 000 zł,8410 zł/m2,39,2,10
"Gdańsk Przymorze, Obrońców Wybrzeża",1 064 200 zł,15650 zł/m2,68,3,parter
"Gdańsk Wrzeszcz, Romana Dmowskiego",1 100 000 zł,10891 zł/m2,101,4,parter
"Gdańsk Stare Przedmieście, Rzeźnicka",793 000 zł,13000 zł/m2,61,4,1
"Gdańsk Wrzeszcz, Grunwaldzka",830 000 zł,11690 zł/m2,71,4,1
"Gdańsk Niedźwiednik, Leśna Góra",650 000 zł,8724 zł/m2,74.5,3,parter
"Gdańsk Jasień, Jabłoniowa",520 000 zł,11586 zł/m2,44.88,2,2
"Gdańsk Jelitkowo, Wypoczynkowa",3 300 000 zł,39388 zł/m2,83.78,3,6
"Gdańsk Wrzeszcz, Grudziądzka",720 000 zł,21726 zł/m2,33.14,2,3
"Gdańsk VII Dwór, Józefa Chełmońskiego",555 000 zł,9982 zł/m2,55.6,3,2
"Gdańsk Dolne Miasto, Jałmużnicza",615 000 zł,16662 zł/m2,36.91,2,3
"Gdańsk Przymorze, Rzeczypospolitej",635 000 zł,18142 zł/m2,35,2,4
"Gdańsk Wrzeszcz, Grudziądzka",1 473 400 zł,20000 zł/m2,73.67,3,3
"Gdańsk Wrzeszcz, Bolesława Chrobrego",720 000 zł,21077 zł/m2,34.16,2,7
"Gdańsk Przymorze, Szczecińska",970 000 zł,17962 zł/m2,54,3,4
"Gdańsk Brzeźno, Polskiego Czerwonego Krzyża",685 000 zł,18886 zł/m2,36.27,2,4
"Gdańsk Brzeźno, Polskiego Czerwonego Krzyża",559 000 zł,19893 zł/m2,28.1,2,1
