Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro
"Gdańsk, Chrobrego",1 180 000 zł,16857 zł/m2,70,3,parter
"Gdańsk Przymorze, Piastowska",945 000 zł,14928 zł/m2,63.3,1,parter
"Gdynia Redłowo, Legionów",545 000 zł,13325 zł/m2,40.9,3,3
"Gdańsk Maćkowy, Kazimierza Wielkiego",539 000 zł,9835 zł/m2,54.8,3,4
"Gdańsk Śródmieście, Łagiewniki",999 000 zł,13684 zł/m2,73,3,2
"Gdynia Działki Leśne, Kwidzyńska",895 000 zł,16886 zł/m2,53,3,5
"Gdynia, Dembińskiego",750 000 zł,13225 zł/m2,56.71,2,parter
Gdańsk Jasien,420 000 zł,10937 zł/m2,38.4,3,1
"Gdynia Mały Kack, Wzgórze Bernadowo",1 285 000 zł,13817 zł/m2,93,5,1
Gdynia Dąbrowa,1 480 000 zł,10242 zł/m2,144.5,4,4
"Gdańsk Jasień, Rycerza Blizbora 24",759 000 zł,5838 zł/m2,130,2,4
"Gdynia Redłowo, Powstania Wielkopolskiego",600 000 zł,13043 zł/m2,46,2,3
"Gdynia Witomino, Konwaliowa",408 300 zł,10917 zł/m2,37.4,3,3
"Sopot Górny Sopot, 23 Marca",1 500 000 zł,16077 zł/m2,93.3,2,4
"Gdańsk Stogi, Wrzosy",352 000 zł,8523 zł/m2,41.3,3,5
"Gdańsk Przymorze, Lęborska",1 390 000 zł,17594 zł/m2,79,2,2
"Gdańsk Brzeźno, Polskiego Czerwonego Krzyża",685 000 zł,18865 zł/m2,36.31,2,4
"Gdańsk Brzeźno, Polskiego Czerwonego Krzyża",559 000 zł,19957 zł/m2,28.01,1,parter
"Gdańsk, Wielkopolska",285 000 zł,9500 zł/m2,30,2,4
"Gdańsk Śródmieście, Zielona 4",619 000 zł,12380 zł/m2,50,4,4
"Gdańsk Stare Przedmieście, Kotwiczników",1 980 000 zł,23487 zł/m2,84.3,2,3
"Gdańsk Ujeścisko, Przemyska",380 000 zł,11176 zł/m2,34,3,3
"Gdańsk Jasień, Komedy",699 000 zł,11611 zł/m2,60.2,1,3
"Gdańsk Siedlce, Malczewskiego",470 000 zł,15083 zł/m2,31.16,2,4
"Gdynia Śródmieście, Świętojańska",1 240 000 zł,30214 zł/m2,41.04,3,8
"Gdańsk Morena, Magellana",719 000 zł,12933 zł/m2,55.59,3,1
Gdańsk Kiełpinek,719 000 zł,9521 zł/m2,75.51,3,4
Gdynia Kamienna Góra,960 000 zł,10345 zł/m2,92.8,2,2
"Gdańsk Jasień, Lawendowe Wzgórze",545 000 zł,12669 zł/m2,43.02,2,4
"Gdańsk Przymorze, Kołobrzeska",449 000 zł,9978 zł/m2,45,4,3
"Gdańsk Zaspa, Jana Pawła Ii",1 190 000 zł,16081 zł/m2,74,3,1
Gdynia Chylonia,400 000 zł,7561 zł/m2,52.9,1,2
"Gdańsk Oliwa, Karpacka",425 000 zł,13980 zł/m2,30.4,3,parter
"Gdańsk Morena, Bulońska",695 000 zł,11049 zł/m2,62.9,3,3
"Gdańsk Chełm, Tytusa Chałubińskiego",629 000 zł,9921 zł/m2,63.4,3,2
"Gdańsk Przymorze, Kołobrzeska",640 000 zł,11552 zł/m2,55.4,3,parter
"Gdańsk Jasień, Krzysztofa Komedy",719 000 zł,11786 zł/m2,61,2,1
Gdańsk Łostowice,399 000 zł,11773 zł/m2,33.89,3,1
"Gdańsk Przymorze, Rzeczypospolitej 4a",990 000 zł,14533 zł/m2,68.12,4,1
"Sopot Dolny Sopot, Parkowa",3 300 000 zł,27307 zł/m2,120.85,1,5
"Gdynia Śródmieście, Abrahama",350 000 zł,15053 zł/m2,23.25,3,3
"Gdynia Cisowa, Janowska",625 000 zł,9328 zł/m2,67,2,3
"Gdańsk Oliwa, Artura Grottgera",500 000 zł,12500 zł/m2,40,2,1
Gdańsk Przymorze,739 000 zł,15700 zł/m2,47.07,3,2
"Gdynia Karwiny, Buraczana",530 000 zł,8714 zł/m2,60.82,3,1
"Gdańsk Brzeźno, Al. gen. J. Hallera 246",2 100 000 zł,28767 zł/m2,73,2,5
"Gdańsk Letnica, Starowiejska",735 000 zł,15461 zł/m2,47.54,2,3
"Gdańsk Zakoniczyn, Kazimierza Porębskiego",469 600 zł,9392 zł/m2,50,5,parter
"Gdynia Wielki Kack, Starodworcowa",995 000 zł,10574 zł/m2,94.09,2,1
"Gdynia Witomino, Stawna",419 000 zł,10997 zł/m2,38.1,2,2
"Gdańsk Stogi, Hoża",417 000 zł,9976 zł/m2,41.8,3,14
"Gdańsk Letnica, Sucha",990 000 zł,16184 zł/m2,61.17,2,parter
"Gdańsk Jasień, Gen. Władysława Andersa",799 260 zł,17300 zł/m2,46.2,2,9
"Gdańsk Zaspa, Janusza Meissnera",449 000 zł,12976 zł/m2,34.6,1,5
"Gdańsk Łostowice, Wielkopolska",299 000 zł,10872 zł/m2,27.5,2,parter
"Sopot Wyścigi / Karlikowo, Karlikowska",925 000 zł,16975 zł/m2,54.49,3,parter
"Sopot Wyścigi / Karlikowo, 3 Maja",1 199 000 zł,15571 zł/m2,77,3,2
"Gdańsk Maćkowy, Kazimierza Wielkiego",550 000 zł,9821 zł/m2,56,5,2
Sopot,2 100 000 zł,13815 zł/m2,152,1,3
"Gdańsk Młode Miasto, Wałowa",595 000 zł,19833 zł/m2,30,4,1
"Gdańsk Wrzeszcz, Karola Szymanowskiego",1 190 000 zł,20081 zł/m2,59.26,3,1
"Gdańsk Morena, Czecha",579 000 zł,9538 zł/m2,60.7,2,2
"Gdańsk Oliwa, Opcka",1 199 999 zł,24489 zł/m2,49,4,3
"Gdańsk Ujeścisko, Płocka",580 000 zł,9109 zł/m2,63.67,5,parter
"Gdańsk Osowa, Chirona",1 095 000 zł,10950 zł/m2,100,3,parter
"Gdańsk Jasień, Lawendowe Wzgórze 38",680 000 zł,11929 zł/m2,57,3,2
"Gdańsk Osowa, Homera",610 000 zł,9923 zł/m2,61.47,3,4
"Gdańsk Wrzeszcz, Joachima Lelewela",1 332 000 zł,18500 zł/m2,72,4,parter
"Gdańsk Letnica, Starowiejska",920 000 zł,11219 zł/m2,82,3,2
"Gdańsk Siedlce, Kolonia Zręby",509 000 zł,8399 zł/m2,60.6,4,4
"Gdańsk Długie Ogrody, Szafarnia",2 500 000 zł,20833 zł/m2,120,2,1
"Gdańsk Orunia, Rubinowa",349 000 zł,8310 zł/m2,42,4,3
"Gdańsk Niedźwiednik, Góralska",899 000 zł,10701 zł/m2,84.01,1,2
"Gdańsk Brzeźno, Dworska",375 000 zł,14368 zł/m2,26.1,1,3
"Gdansk Żabianka, Pomorska 18",480 000 zł,15483 zł/m2,31,3,1
"Gdańsk Brzeźno, Ksawerego Dunikowskiego",647 000 zł,14874 zł/m2,43.5,3,2
"Gdynia Działki Leśne, Kwidzyńska",895 000 zł,16886 zł/m2,53,3,parter
"Gdynia Wiczlino, Stanisława Filipkowskiego",739 000 zł,10408 zł/m2,71,2,5
"Gdańsk Żabianka, Gospody",519 000 zł,16742 zł/m2,31,3,1
"Gdańsk Śródmieście, Grodzka",679 000 zł,10681 zł/m2,63.57,3,parter
"Gdańsk Dolne Miasto, Śluza",729 000 zł,14533 zł/m2,50.16,3,8
"Gdynia Chylonia, Chylońska",389 000 zł,6946 zł/m2,56,2,1
"Gdańsk Wrzeszcz, Sochaczewska",599 000 zł,12690 zł/m2,47.2,2,1
"Gdańsk Morena, Krzysztofa Kolumba",520 000 zł,10569 zł/m2,49.2,3,1
"Gdańsk Brzeźno, Dunikowskiego 1",647 000 zł,14873 zł/m2,43.5,2,5
"Gdańsk Żabianka, Gospody 8",519 000 zł,16741 zł/m2,31,3,4
"Gdańsk Morena, Burgaska",519 000 zł,8466 zł/m2,61.3,3,parter
Gdynia Grabówek,589 000 zł,9462 zł/m2,62.25,4,1
"Gdynia Oksywie, Bosmańska",1 122 000 zł,11642 zł/m2,96.37,2,parter
"Gdynia Mały Kack, Strzelców",679 000 zł,13857 zł/m2,49,3,2
"Gdańsk Przeróbka, Bajki",585 000 zł,10335 zł/m2,56.6,3,3
"Gdańsk Letnica, Sucha",840 000 zł,13953 zł/m2,60.2,2,1
"Gdańsk Gdańsk Południe, Hilarego Koprowskiego",395 000 zł,9093 zł/m2,43.44,2,2
"Gdańsk Matarnia - Rębiechowo, Mjr. Mieczysława Słabego",599 000 zł,12621 zł/m2,47.46,2,5
"Gdańsk Morena, Magellana",686 000 zł,14000 zł/m2,49,2,3
"Gdańsk Ujeścisko , Niepołomicka",499 000 zł,11264 zł/m2,44.3,4,3
"Gdańsk Ujeścisko, Konstantego Bergiela",579 000 zł,7329 zł/m2,79,2,8
"Gdynia Śródmieście, Węglowa",1 299 000 zł,25204 zł/m2,51.54,2,parter
"Gdańsk Chełm, Władysława Cieszyńskiego",599 000 zł,11812 zł/m2,50.71,2,parter
"Gdańsk Orunia, Brzegi",349 000 zł,8231 zł/m2,42.4,3,3
"Gdańsk Orunia, Diamentowa",460 000 zł,10222 zł/m2,45,3,2
"Gdynia Wielki Kack, Lesoka",850 000 zł,12318 zł/m2,69,2,1
"Gdynia Wzgórze św. Maksymiliana, Świętojańska",799 000 zł,16576 zł/m2,48.2,3,1
"Gdańsk Ujeścisko, Wielkopolska",685 000 zł,10316 zł/m2,66.4,4,4
"Gdańsk Długie Ogrody, Sienna Grobla",1 868 640 zł,23917 zł/m2,78.13,3,4
"Gdańsk Długie Ogrody, Sienna Grobla",3 302 160 zł,23906 zł/m2,138.13,3,2
"Gdańsk Zakoniczyn, Konrada Guderskiego 34",575 000 zł,9982 zł/m2,57.6,2,parter
"Gdynia Kamienna Góra, Józefa Bema",515 000 zł,13552 zł/m2,38,3,7
"Gdańsk Zaspa, Ciołkowskiego",629 000 zł,13104 zł/m2,48,2,parter
"Gdańsk Nowy Port, Marynarki Polskiej",415 000 zł,12576 zł/m2,33,2,1
"Gdańsk letnica, Letnicka",510 000 zł,12980 zł/m2,39.29,2,2
"Gdańsk Jasień, Aleksandry Gabrysiak",450 000 zł,10090 zł/m2,44.6,3,1
"Gdańsk Wrzeszcz, Hallera",1 521 000 zł,18988 zł/m2,80.1,3,1
"Gdańsk Wrzeszcz, Bolesława Chrobrego",570 000 zł,9500 zł/m2,60,3,parter
"Gdańsk Przeróbka, Bajki",419 000 zł,9959 zł/m2,42.07,2,parter
"Gdynia Orłowo, Inżynierska 16",779 000 zł,19000 zł/m2,41,3,parter
"Gdańsk Brzeźno, Nadmorski Dwór",2 999 000 zł,29693 zł/m2,101,2,2
"Gdańsk Letnica, Sucha",570 000 zł,14250 zł/m2,40,1,parter
"Gdynia Cisowa, Morska",323 000 zł,10971 zł/m2,29.44,1,parter
"Gdańsk Brzeźno, Dworska",380 000 zł,14902 zł/m2,25.5,2,5
"Gdańsk Letnica, Letnicka",689 000 zł,14554 zł/m2,47.34,2,4
"Gdańsk Wrzeszcz, Ostrowskiej Róży",454 000 zł,10682 zł/m2,42.5,3,9
"Gdańsk Przymorze, Olsztyńska",1 169 000 zł,17396 zł/m2,67.2,3,2
"Gdynia Witomino, Graniczna 4",589 900 zł,12014 zł/m2,49.1,2,6
"Gdańsk Długie Ogrody, Długie Ogrody",459 000 zł,11305 zł/m2,40.6,2,parter
"Gdańsk Wrzeszcz, Antoniego Słonimskiego",1 060 000 zł,17666 zł/m2,60,6,4
"Sopot Wyścigi / Karlikowo, Bitwy Pod Płowcami",1 149 000 zł,14544 zł/m2,79,3,4
"Gdynia Obłuże, Zielona",449 000 zł,7446 zł/m2,60.3,2,4
"Gdańsk Stare Przedmieście, Toruńska",700 000 zł,22019 zł/m2,31.79,2,parter
"Gdynia Kamienna Góra, Marsz. Piłsudskiego",899 000 zł,16345 zł/m2,55,2,4
"Gdańsk Jasień, Lawendowe Wzgórze",499 000 zł,11972 zł/m2,41.68,3,9
"Gdynia Cisowa, Owsiana",429 000 zł,8079 zł/m2,53.1,4,2
"Gdynia Grabówek, Morska",459 000 zł,7114 zł/m2,64.52,3,1
"Gdynia Grabówek, Morska",499 000 zł,6713 zł/m2,74.33,4,parter
"Gdańsk Nowy Port, Strajku Dokerów",615 000 zł,6989 zł/m2,88,2,1
"Gdańsk Oliwa, Opacka","1 507 539,60 zł",22738 zł/m2,66.3,5,1
Gdynia Oksywie,1 062 000 zł,11600 zł/m2,91.55,2,6
"Gdańsk Letnica, Letnicka",595 000 zł,19381 zł/m2,30.7,2,1
"Gdańsk Łostowice, Hokejowa",399 000 zł,11735 zł/m2,34,3,parter
"Gdańsk Ujeścisko, Piotrkowska",639 000 zł,9984 zł/m2,64,4,2
"Gdańsk Wrzeszcz, Stanisława Wyspiańskiego",1 290 000 zł,12256 zł/m2,105.25,2,2
"Gdynia Chylonia , Morska 210",395 000 zł,8777 zł/m2,45,2,11
"Gdynia Obłuże, Krawiecka",265 000 zł,6973 zł/m2,38,3,2
"Gdańsk Oliwa, Opacka","2 234 930,40 zł",23979 zł/m2,93.2,3,2
"Gdynia Oksywie, Błękitna",375 000 zł,7075 zł/m2,53,2,4
"Gdańsk Siedlce , Kartuska 36",420 000 zł,8993 zł/m2,46.7,4,1
"Gdańsk Olszynka, Zawodzie",799 999 zł,9163 zł/m2,87.3,3,parter
"Gdańsk Morena, Myśliwskie Wzgórze",669 000 zł,11820 zł/m2,56.6,1,7
"Sopot Górny Sopot, 23 Marca",365 000 zł,21471 zł/m2,17,1,parter
"Gdańsk Siedlce, Zakopiańska",490 000 zł,11913 zł/m2,41.13,2,1
"Gdańsk Wrzeszcz, Kochanowskiego 11/13",459 000 zł,9562 zł/m2,48,1,1
"Gdańsk Ujeścisko, Częstochowska",390 000 zł,10540 zł/m2,37,3,17
"Gdańsk Letnica, Sucha",1 480 000 zł,17411 zł/m2,85,1,parter
"Gdańsk Zaspa, Pilotów",399 000 zł,12871 zł/m2,31,3,3
"Gdańsk Chełm, Prof. Romualda Cebertowicza",529 000 zł,8343 zł/m2,63.4,2,1
"Gdańsk Śródmieście, Antoniego Madalińskiego",450 000 zł,12723 zł/m2,35.37,2,1
Gdańsk Oliwa,599 000 zł,15763 zł/m2,38,3,1
"Gdańsk Zaspa, Franciszka Hynka",985 000 zł,13979 zł/m2,70.46,2,3
"Gdańsk Kowale, Heliosa",535 000 zł,10624 zł/m2,50.36,3,1
"Gdańsk Brzeźno, Polskiego Czerwonego Krzyża",585 000 zł,11075 zł/m2,52.82,2,4
"Gdańsk Brzeźno, Dworska",479 000 zł,13685 zł/m2,35,2,2
"Gdańsk Zakoniczyn, Kazimierza Porębskiego",585 000 zł,10156 zł/m2,57.6,4,3
"Gdynia Dąbrowa, Sojowa",850 000 zł,7475 zł/m2,113.7,3,3
"Gdańsk Zakoniczyn, Konrada Guderskiego",583 000 zł,10486 zł/m2,55.6,7,4
"Gdańsk Długie Ogrody, Sienna Grobla",5 170 800 zł,23910 zł/m2,216.26,4,2
"Gdynia Działki Leśne, Śląska",790 000 zł,9182 zł/m2,86.03,5,2
"Gdynia Orłowo, Kurpiowska",2 200 000 zł,12359 zł/m2,178,4,1
"Gdańsk Jelitkowo, Bursztynowa",3 500 800 zł,32000 zł/m2,109.4,4,4
"Gdynia Kamienna Góra, Żołnierzy I Armii Wojska Polskiego",2 250 000 zł,22500 zł/m2,100,3,3
"Gdańsk Śródmieście, Podwale Przedmiejskie 32",849 000 zł,13645 zł/m2,62.22,3,2
"Gdańsk Osowa, Ariadny",550 000 zł,5500 zł/m2,100,2,2
"Gdańsk Wrzeszcz, Grunwaldzka",489 000 zł,9750 zł/m2,50.15,3,2
"Gdańsk Wrzeszcz, Grunwaldzka",489 000 zł,9750 zł/m2,50.15,4,2
"Gdańsk Wrzeszcz, B. Chrobrego",1 690 000 zł,19882 zł/m2,85,2,5
"Gdańsk Śródmieście, Chmielna 73",988 000 zł,19000 zł/m2,52,2,8
"Sopot Brodwino, Cieszyńskiego",569 000 zł,11854 zł/m2,48,2,2
"Gdańsk Matarnia - Rębiechowo, Słabego",599 000 zł,12621 zł/m2,47.46,4,2
"Sopot Kamienny Potok, Mazowiecka",930 000 zł,13162 zł/m2,70.66,4,3
"Gdańsk Morena, Królewskie Wzgórze",1 190 000 zł,14266 zł/m2,83.41,2,3
"Gdynia Mały Kack, Parkowa",549 000 zł,15250 zł/m2,36,2,1
"Gdańsk Łostowice, Niepołomicka",399 000 zł,11735 zł/m2,34,2,2
"Gdańsk Oliwa, Polanki",900 000 zł,16071 zł/m2,56,3,3
"Gdańsk Wrzeszcz, Jaśkowa Dolina",1 190 000 zł,13266 zł/m2,89.7,2,1
"Gdynia Witomino, Stawna 1",419 000 zł,11324 zł/m2,37,1,2
"Gdańsk VII Dwór, Józefa Chełmońskiego",374 000 zł,14960 zł/m2,25,3,2
"Gdynia Dąbrowa, Waniliowa",569 000 zł,8808 zł/m2,64.6,2,4
"Gdańsk Śródmieście, Popiełuszki",905 000 zł,20502 zł/m2,44.14,2,2
"Gdynia Oksywie, Inż. J. Śmidowicza",259 000 zł,8094 zł/m2,32,2,parter
"Gdańsk Wrzeszcz, Ludwika Waryńskiego",449 000 zł,11445 zł/m2,39.23,3,8
Gdynia Śródmieście,580 000 zł,10000 zł/m2,58,2,4
Gdańsk Śródmieście,560 000 zł,14736 zł/m2,38,2,2
"Gdańsk Morenaq, Lema 10",510 000 zł,15000 zł/m2,34,3,3
"Gdańsk Wrzeszcz, Jaśkowa Dolina",990 000 zł,11578 zł/m2,85.5,2,2
"Gdańsk Brzeźno, Ksawerego Dunikowskiego",585 000 zł,12717 zł/m2,46,3,1
"Gdańsk Oliwa, Polanki",549 000 zł,8489 zł/m2,64.67,2,8
"Gdańsk Brzeźno, Gdańska",799 900 zł,14107 zł/m2,56.7,4,2
Gdańsk Siedlce,29 100 zł,396 zł/m2,73.41,6,2
"Gdańsk Biskupia Górka, Zaroślak",1 155 000 zł,11155 zł/m2,103.54,3,3
"Gdańsk Ujeścisko, Cedrowa 41",740 000 zł,10190 zł/m2,72.62,3,1
"Gdańsk Zaspa, Startowa",630 000 zł,10327 zł/m2,61,1,1
Gdańsk,153 860 zł,5698 zł/m2,27,3,2
"Gdynia Obłuże, Płk. Stanisława Dąbka",350 000 zł,6603 zł/m2,53,1,2
"Gdańsk Kowale, Apollina",349 000 zł,10334 zł/m2,33.77,2,6
"Gdynia Działki Leśne, Warszawska",375 000 zł,14940 zł/m2,25.1,5,2
"Sopot Dolny Sopot, Bohaterów Monte Cassino",2 600 000 zł,20634 zł/m2,126,2,parter
"Sopot Górny Sopot, 23 Marca",495 000 zł,13026 zł/m2,38,3,1
"Gdynia Chwarzno, Czesława Niemena",1 099 000 zł,13890 zł/m2,79.12,4,1
"Gdańsk Karczemki, Irysowa",984 500 zł,9690 zł/m2,101.59,3,4
"Gdańsk Wrzeszcz, Partyzantów",1 070 000 zł,16563 zł/m2,64.6,3,2
"Gdańsk Morena, Janusza Kusocińskiego",599 000 zł,9599 zł/m2,62.4,2,3
"Gdańsk Niedźwiednik, Trawki",549 000 zł,10238 zł/m2,53.62,1,4
"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",389 000 zł,14407 zł/m2,27,3,4
"Gdańsk Orunia, Diamentowa",545 000 zł,10480 zł/m2,52,2,parter
"Gdańsk Jasień, Tadeusza Jasińskiego",590 000 zł,11104 zł/m2,53.13,3,4
"Gdańsk Brzeźno, Łozy 5",769 000 zł,12816 zł/m2,60,2,parter
"Gdynia Wzgórze św. Maksymiliana, Świętojańska 139",495 000 zł,11123 zł/m2,44.5,4,3
"Gdańsk Morena, Królewskie Wzgórze",1 190 000 zł,14266 zł/m2,83.41,3,6
"Gdańsk Morena, Prof. Stefana Hausbrandta",759 000 zł,14537 zł/m2,52.21,3,5
"Gdańsk Suchanino, Paderewskiego",520 000 zł,9265 zł/m2,56.12,3,3
"Gdańsk Morena, Królewskie Wzgórze",980 000 zł,12364 zł/m2,79.26,2,2
"Gdańsk Jasień, Kazimierza Leskiego 34",480 000 zł,10909 zł/m2,44,2,1
"Gdańsk Łostowice, Niepołomnicka 70",439 000 zł,11991 zł/m2,36.61,2,1
Gdańsk Zakoniczyn,435 000 zł,9477 zł/m2,45.9,2,8
"Gdańsk Przymorze, Rzeczypospolitej 4D",799 000 zł,17755 zł/m2,45,1,2
"Gdańsk Brzeźno, Dworska 22",375 000 zł,14367 zł/m2,26.1,3,4
"Gdynia Obłuże, Sucharskiego",380 000 zł,6333 zł/m2,60,3,4
"Gdynia Śródmieście, Węglowa",1 480 000 zł,19957 zł/m2,74.16,3,3
"Gdańsk Łostowice , Hokejowa",720 000 zł,9230 zł/m2,78,3,2
"Gdynia Redłowo, Powstania Wielkopolskiego",655 000 zł,12358 zł/m2,53,2,1
"Gdynia Wiczlino, Gen. Mariusza Zaruskiego",519 000 zł,12597 zł/m2,41.2,3,parter
"Gdańsk Ujeścisko, Mariana Kołodzieja",660 000 zł,11340 zł/m2,58.2,2,3
"Gdańsk Strzyża, Bernarda Chrzanowskiego",890 000 zł,13303 zł/m2,66.9,3,1
"Gdańsk Jelitkowo, Bursztynowa",3 199 000 zł,38917 zł/m2,82.2,4,2
"Sopot Dolny Sopot, Władysława Iv",3 000 000 zł,26127 zł/m2,114.82,2,1
"Gdańsk Śródmieście, Siennicka",419 000 zł,11055 zł/m2,37.9,2,1
"Gdańsk Jasień, Potęgowska",399 000 zł,10363 zł/m2,38.5,2,9
"Gdynia Śródmieście, 3 Maja",469 000 zł,12342 zł/m2,38,2,4
"Gdańsk Zaspa, Kombatantów",479 000 zł,12035 zł/m2,39.8,3,parter
"Gdynia Redłowo, Miłosza",589 000 zł,12531 zł/m2,47,3,5
"Gdynia Redłowo, Legionów",1 050 000 zł,15853 zł/m2,66.23,3,parter
"Gdańsk Kowale, Zeusa",475 000 zł,9500 zł/m2,50,5,2
"Gdańsk Morena, Myśliwska",1 149 000 zł,9447 zł/m2,121.62,3,9
"Gdańsk Młode Miasto, Wałowa",1 000 000 zł,16667 zł/m2,60,3,1
"Gdańsk Wrzeszcz, Sebastiana Klonowicza",520 000 zł,14054 zł/m2,37,3,parter
"Gdańsk Zakoniczyn, Guderskiego",579 000 zł,10413 zł/m2,55.6,2,1
"Gdańsk Oliwa, Grunwaldzka",599 000 zł,13875 zł/m2,43.17,3,3
"Gdańsk Strzyża, Fryderyka Chopina",525 000 zł,10096 zł/m2,52,2,1
"Gdańsk Orunia, Rubinowa 5",349 000 zł,8309 zł/m2,42,2,1
"Gdańsk Orunia, Rubinowa 5",349 000 zł,8309 zł/m2,42,3,parter
"Gdańsk Zakoniczyn, Konrada Guderskiego",579 000 zł,10321 zł/m2,56.1,1,parter
"Gdańsk Śródmieście, Rybaki Górne 7",405 000 zł,16167 zł/m2,25.05,1,8
"Gdańsk Chełm, Witosa",345 000 zł,9971 zł/m2,34.6,2,4
"Gdynia Chylonia, Wejherowska",360 000 zł,8194 zł/m2,43.93,2,7
"Gdańsk Żabianka, Pomorska",429 000 zł,11289 zł/m2,38,3,3
"Gdańsk Jasień, Stężycka",529 000 zł,8177 zł/m2,64.69,1,3
"Gdańsk Wrzeszcz, Gen. Józefa Hallera",640 000 zł,18702 zł/m2,34.22,2,1
"Sopot Kamienny Potok, Mazowiecka",685 000 zł,14211 zł/m2,48.2,2,4
Gdańsk Przymorze,439 000 zł,10209 zł/m2,43,1,parter
"Gdańsk Żabianka, Tysiąclecia",410 000 zł,18636 zł/m2,22,2,3
"Gdańsk Morena, Romana Wyrobka",490 000 zł,9879 zł/m2,49.6,4,3
"Gdańsk Siedlce, Gen. Józefa Sowińskiego",1 350 000 zł,13106 zł/m2,103,3,1
"Gdańsk Przymorze, Lęborska",899 999 zł,15149 zł/m2,59.41,3,2
"Gdańsk Przymorze, Lęborska",999 999 zł,14691 zł/m2,68.07,1,1
"Gdynia Dąbrowa, Gorczycowa",289 000 zł,12788 zł/m2,22.6,2,10
"Gdańsk Żabianka, Jakuba Wejhera",575 000 zł,14058 zł/m2,40.9,2,3
"Gdańsk Brzeźno, Władysława Broniewskiego",520 000 zł,13000 zł/m2,40,2,4
"Gdańsk Zakoniczyn, Kazimierza Porębskiego",459 000 zł,9786 zł/m2,46.9,2,1
"Sopot Wyścigi / Karlikowo, Niepodległości",950 000 zł,14615 zł/m2,65,2,4
"Gdańsk Stogi, Hoża",399 000 zł,11400 zł/m2,35,2,3
"Gdańsk Przymorze, Obrońców Wybrzeża",420 000 zł,9130 zł/m2,46,2,3
"Gdańsk Stogi, Hoża 6",363 000 zł,8581 zł/m2,42.3,4,3
"Gdynia Mały Kack, Strzelców",1 800 000 zł,15517 zł/m2,116,3,1
"Gdańsk Św. Wojciech, Kazimierza Wielkiego",535 000 zł,10147 zł/m2,52.72,3,2
"Gdańsk Osowa, Homera",610 000 zł,9924 zł/m2,61.47,2,1
"Gdańsk Łostowice, Niepołomicka",525 000 zł,12946 zł/m2,40.55,3,1
"Gdańsk Orunia Górna, Kurierów Armii Krajowej",690 000 zł,12084 zł/m2,57.1,2,parter
"Gdańsk Śródmieście, Sukiennicza",899 000 zł,17288 zł/m2,52,3,parter
"Gdańsk Dolne Miasto, Śluza",729 000 zł,14294 zł/m2,51,3,parter
"Gdynia Pogórze, Ppłk. Ignacego Szpunara",489 000 zł,8150 zł/m2,60,3,4
"Gdynia Grabówek, Morska",393 000 zł,7145 zł/m2,55,3,3
"Gdańsk Łostowice, Hokejowa",699 000 zł,10877 zł/m2,64.26,2,parter
"Gdańsk Nowy Port, Bliska",399 000 zł,9731 zł/m2,41,3,parter
"Gdynia Witomino, Chwarznieńska",489 000 zł,8890 zł/m2,55,2,2
"Gdańsk Strzyża, Michała Glinki",599 000 zł,12076 zł/m2,49.6,3,1
"Gdańsk Oliwa, Żubrowa",627 000 zł,11988 zł/m2,52.3,3,2
"Gdynia Redłowo, Powstania Wielkopolskiego",655 000 zł,12358 zł/m2,53,2,2
"Gdańsk Wrzeszcz, Sochaczewska",465 000 zł,10520 zł/m2,44.2,2,3
"Gdańsk Zakoniczyn, Konrada Guderskiego",439 000 zł,9606 zł/m2,45.7,3,parter
"Gdynia Karwiny, Buraczana",530 000 zł,8923 zł/m2,59.4,2,parter
"Gdynia Oksywie, Nasypowa",450 000 zł,11842 zł/m2,38,3,3
"Gdynia Wiczlino, Stanisława Filipkowskiego",770 000 zł,10355 zł/m2,74.36,2,parter
"Gdynia Wiczlino, Filipkowskiego",549 950 zł,10999 zł/m2,50,5,4
"Gdynia Pogórze, Kmdr. Bolesława Romanowskiego",739 000 zł,6327 zł/m2,116.8,4,3
"Gdańsk Długie Ogrody, Angielska Grobla",1 550 000 zł,18623 zł/m2,83.23,2,1
"Gdynia Chylonia, Gniewska",449 000 zł,10298 zł/m2,43.6,3,parter
"Gdańsk Wrzeszcz, Tadeusza Kościuszki",560 000 zł,9739 zł/m2,57.5,3,parter
"Gdańsk Stogi, Hoża",426 000 zł,12529 zł/m2,34,1,3
"Gdańsk Stogi, Skiby",349 999 zł,12280 zł/m2,28.5,3,parter
"Gdańsk Długie Ogrody, Sienna Grobla",999 000 zł,16165 zł/m2,61.8,3,4
"Gdańsk Długie Ogrody, Świętej Barbary",1 390 000 zł,19789 zł/m2,70.24,4,1
"Sopot Dolny, Aleja Niepodległości",799 000 zł,10006 zł/m2,79.85,2,3
"Gdańsk Brzeźno, Walecznych",680 000 zł,12789 zł/m2,53.17,2,4
"Gdańsk Przymorze, Piastowska",429 000 zł,11289 zł/m2,38,3,2
"Gdynia Śródmieście, Arkadiusza Rybickiego",3 946 500 zł,45000 zł/m2,87.7,3,1
"Gdynia Chylonia, Starogardzka",449 000 zł,8004 zł/m2,56.1,2,8
"Gdańsk Oliwa, Wita Stwosza",499 000 zł,14763 zł/m2,33.8,2,2
